legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Cronje M.C.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Cronje M.C.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
de Klerk L.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
de Klerk L.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
de Klerk L.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
de Klerk L.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Alternate Member
de Klerk L.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Alternate Member
de Klerk L.J.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
de Klerk L.J.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Dhlomo S.M.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Dhlomo S.M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Dlamini D.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Alternate Member
Dlamini D.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Dlamini D.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Dlamini D.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Dlamini D.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Alternate Member
Dlamini D.D.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
