legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Sikosana N.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Chair
Sikosana N.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Sikosana N.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Sikosana N.D.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Sikosana N.D.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Singh A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Committee Member
Singh A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Alternate Member
Singh A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Chair
Singh A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Singh A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Alternate Member
Singh A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Committee Member
Singh A.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Singh A.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Steele Mark,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Committee Member
Steele Mark,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Alternate Member
Steele Mark,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Alternate Member
Steele Mark,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Steele Mark,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Steele Mark,Province,KwaZulu-Natal,Political Party,Democratic Alliance (DA),Party Member
Steele Mark,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Stokes Tom,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Alternate Member
Stokes Tom,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Committee Member
Stokes Tom,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Alternate Member
Stokes Tom,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
Stokes Tom,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Alternate Member
Stokes Tom,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Stokes Tom,Province,KwaZulu-Natal,Political Party,Democratic Alliance (DA),Party Member
Stokes Tom,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Swaartbooi G.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Chair
Swaartbooi G.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
Swaartbooi G.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Committee Member
Swaartbooi G.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Swaartbooi G.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Alternate Member
Swaartbooi G.N.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Swaartbooi G.N.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Tambo V.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Chair
Tambo V.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Committee Member
Tambo V.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Tambo V.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Tambo V.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Tambo V.V.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Tambo V.V.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Alternate Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Alternate Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Alternate Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Committee Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Alternate Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Alternate Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,Political Party,Minority Front (MF),Party Member
Thakur-Rajbansi Shameen,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Thusi W.G.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Thusi W.G.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Zondi W.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Committee Member
Zondi W.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
Zondi W.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Alternate Member
Zondi W.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Alternate Member
Zondi W.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Zondi W.P.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Zondi W.P.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Zwane L.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Alternate Member
Zwane L.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Alternate Member
Zwane L.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Chair
Zwane L.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Zwane L.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Zwane L.L.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Zwane L.L.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Zwane L.L.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
