Place Name,Budget Name,Budget Value
runyenjes-2013,Total Constituency Allocation,69404975
sabatia-2013,Total Constituency Allocation,67279717
saboti-2013,Total Constituency Allocation,75426946
saku-2013,Total Constituency Allocation,66766053
samburu-east-2013,Total Constituency Allocation,71145658
samburu-north-2013,Total Constituency Allocation,75681472
samburu-west-2013,Total Constituency Allocation,76050163
seme-2013,Total Constituency Allocation,71345361
shinyalu-2013,Total Constituency Allocation,84102728
sigor-2013,Total Constituency Allocation,75564691
sigowet/soin-2013,Total Constituency Allocation,72758187
sirisia-2013,Total Constituency Allocation,74759341
sotik-2013,Total Constituency Allocation,83586882
south-imenti-2013,Total Constituency Allocation,69757002
south-mugirango-2013,Total Constituency Allocation,83063905
soy-2013,Total Constituency Allocation,79156878
starehe-2013,Total Constituency Allocation,62559840
suba-2013,Total Constituency Allocation,74630545
subukia-2013,Total Constituency Allocation,70519933
suna-east-2013,Total Constituency Allocation,74165609
suna-west-2013,Total Constituency Allocation,73360562
tarbaj-2013,Total Constituency Allocation,86399989
taveta-2013,Total Constituency Allocation,70255922
teso-north-2013,Total Constituency Allocation,78429333
teso-south-2013,Total Constituency Allocation,82307345
tetu-2013,Total Constituency Allocation,64870950
tharaka-2013,Total Constituency Allocation,83424538
thika-town-2013,Total Constituency Allocation,71022496
tiaty-2013,Total Constituency Allocation,87002584
tigania-east-2013,Total Constituency Allocation,76771049
tigania-west-2013,Total Constituency Allocation,69081948
tinderet-2013,Total Constituency Allocation,75928357
tongaren-2013,Total Constituency Allocation,84144074
turbo-2013,Total Constituency Allocation,77368352
turkana-central-2013,Total Constituency Allocation,89136726
turkana-east-2013,Total Constituency Allocation,83279781
turkana-north-2013,Total Constituency Allocation,97306777
turkana-south-2013,Total Constituency Allocation,93426132
turkana-west-2013,Total Constituency Allocation,116070134
ugenya-2013,Total Constituency Allocation,71734746
ugunja-2013,Total Constituency Allocation,69415690
uriri-2013,Total Constituency Allocation,76761203
vihiga-2013,Total Constituency Allocation,67056606
voi-2013,Total Constituency Allocation,69917064
wajir-east-2013,Total Constituency Allocation,84380381
wajir-north-2013,Total Constituency Allocation,92987961
wajir-south-2013,Total Constituency Allocation,88408820
wajir-west-2013,Total Constituency Allocation,81420743
webuye-east-2013,Total Constituency Allocation,71547621
webuye-west-2013,Total Constituency Allocation,77167470
west-mugirango-2013,Total Constituency Allocation,82977847
westlands-2013,Total Constituency Allocation,65005250
wundanyi-2013,Total Constituency Allocation,67757063
yatta-2013,Total Constituency Allocation,81955949
