place_name,place_kind,person_name,organisation_name,organisation_kind,position_title
Chiwundura,Constituency,Kizito Chivambe,Parliament,Governmental,Member of Parliament
Gokwe-Chireya,Constituency,Cephas Sindi,Parliament,Governmental,Member of Parliament
Gokwe-Nembudziya,Constituency,Justice Mayor Wdyajena,Parliament,Governmental,Member of Parliament
Gokwe-Sengwe,Constituency,Paul Mavima,Parliament,Governmental,Member of Parliament
Gokwe-Sesame,Constituency,Jeffrey Runzirwai,Parliament,Governmental,Member of Parliament
Gokwe,Constituency,Dorothy Mangami,Parliament,Governmental,Member of Parliament
Gokwe-Gumunyu,Constituency,Melenia Mahiya,Parliament,Governmental,Member of Parliament
Gokwe-Kabuyuni,Constituency,Leonard Chikomba,Parliament,Governmental,Member of Parliament
Gokwe-Kana,Constituency,Owen Ncube,Parliament,Governmental,Member of Parliament
Gokwe-Mapfungautsi,Constituency,Miriam Makweya,Parliament,Governmental,Member of Parliament
Gweru Urban,Constituency,Sesel Zvidzai,Parliament,Governmental,Member of Parliament
Kwekwe Central,Constituency,Masango Matambanadzo,Parliament,Governmental,Member of Parliament
Mberengwa East,Constituency,Makhosini Hlongwane,Parliament,Governmental,Member of Parliament
Mberengwa South,Constituency,Chiratidzo Mabuwa,Parliament,Governmental,Member of Parliament
Mberengwa West,Constituency,Joram Gumbo,Parliament,Governmental,Member of Parliament
Mbizo,Constituency,Settlement Chikwinya,Parliament,Governmental,Member of Parliament
Mkoba,Constituency,Amos Chibaya,Parliament,Governmental,Member of Parliament
Redcliff,Constituency,Harris Ncube,Parliament,Governmental,Member of Parliament
Shurugwi North,Constituency,Chenayimoyo D. F. Nhema,Parliament,Governmental,Member of Parliament
Shurugwi South,Constituency,Tapiwanashe Matangaidze,Parliament,Governmental,Member of Parliament
Silobela,Constituency,Mtokozisi M. Mpofu,Parliament,Governmental,Member of Parliament
Vungu,Constituency,Josephat Madubeko,Parliament,Governmental,Member of Parliament
Zhombe,Constituency,Daniel M. Ncube,Parliament,Governmental,Member of Parliament
Zvishavane-Ngezi,Constituency,John Holder,Parliament,Governmental,Member of Parliament
Zvishavane-Runde,Constituency,Fred Moyo,Parliament,Governmental,Member of Parliament
Binga North,Constituency,Dubeko Sibanda,Parliament,Governmental,Member of Parliament
Binga South,Constituency,Joel G. Gabbuza,Parliament,Governmental,Member of Parliament
Bubi,Constituency,Clifford Sibanda,Parliament,Governmental,Member of Parliament
Hwange Central,Constituency,Brian Tshuma,Parliament,Governmental,Member of Parliament
Hwange East,Constituency,Tose Wesley Sansole,Parliament,Governmental,Member of Parliament
Hwange West,Constituency,Bekithemba Mpofu,Parliament,Governmental,Member of Parliament
Lupane East,Constituency,Sithemba Gumbo,Parliament,Governmental,Member of Parliament
Lupane West,Constituency,Martin Khumalo,Parliament,Governmental,Member of Parliament
Nkayi North,Constituency,Sithembiso Nyoni,Parliament,Governmental,Member of Parliament
Nkayi South,Constituency,Abednico Bhebhe,Parliament,Governmental,Member of Parliament
Tsholotsho North,Constituency,Roselene Nkomo,Parliament,Governmental,Member of Parliament
Tsholotsho South,Constituency,Zenzo Sibanda,Parliament,Governmental,Member of Parliament
Umguza,Constituency,Obert Mpofu,Parliament,Governmental,Member of Parliament
Beitbridge East,Constituency,Kembo Mohadi,Parliament,Governmental,Member of Parliament
Beitbridge West,Constituency,Metrine Mdau,Parliament,Governmental,Member of Parliament
Bulilima East,Constituency,Mathias S. Ndlovu,Parliament,Governmental,Member of Parliament
Bulilima West,Constituency,Lungisati Nleya,Parliament,Governmental,Member of Parliament
Gwanda Central,Constituency,Edson Gumbo,Parliament,Governmental,Member of Parliament
Gwanda North,Constituency,Madodana Sibanda,Parliament,Governmental,Member of Parliament
Gwanda South,Constituency,Abednico Ncube,Parliament,Governmental,Member of Parliament
Insizo North,Constituency,Andrew Langa,Parliament,Governmental,Member of Parliament
Insiza South,Constituency,Malach Nkomo,Parliament,Governmental,Member of Parliament
Mangwe,Constituency,Obedingwa Mguni,Parliament,Governmental,Member of Parliament
Matobo North,Constituency,Never Khanye,Parliament,Governmental,Member of Parliament
Matobo South,Constituency,Soul Ncube,Parliament,Governmental,Member of Parliament
Umzingwane,Constituency,Wiiliam M. Dhewa,Parliament,Governmental,Member of Parliament
,,Dorcas Sibanda,MDC-T,Political Party,Party Member
,,Thabitha Khumalo,MDC-T,Political Party,Party Member
,,Edward G. Cross,MDC-T,Political Party,Party Member
,,Dingilizwe Tshuma,MDC-T,Political Party,Party Member
,,Samuel Sipepa,MDC-T,Political Party,Party Member
,,Reggie Moyo,MDC-T,Political Party,Party Member
,,Anele Ndebele,MDC-T,Political Party,Party Member
,,Gorden Moyo,MDC-T,Political Party,Party Member
,,Phelele Masuku,MDC-T,Political Party,Party Member
,,Tamsanqa Mahlangu,MDC-T,Political Party,Party Member
,,Bekithemba Nyathi,MDC-T,Political Party,Party Member
,,Albert Mhlanga,MDC-T,Political Party,Party Member
,,Costa Machingauta,MDC-T,Political Party,Party Member
,,Godfrey Sithole,MDC-T,Political Party,Party Member
,,Christopher Chigumba,ZANU PF,Political Party,Party Member
,,Solomon Madzore,MDC-T,Political Party,Party Member
,,Amos Midzi,ZANU PF,Political Party,Party Member
,,Webster Maondera,MDC-T,Political Party,Party Member
,,Fani Munengani,MDC-T,Political Party,Party Member
,,Paul Madzore,MDC-T,Political Party,Party Member
,,Murisi Zwizwai,MDC-T,Political Party,Party Member
,,Tendai Biti,MDC-T,Political Party,Party Member
,,Tongesai Mudambo,ZANU PF,Political Party,Party Member
,,Shadreck Mashayamombe,ZANU PF,Political Party,Party Member
,,Fungai J Majome,MDC-T,Political Party,Party Member
,,Tapiwa Mashakada,MDC-T,Political Party,Party Member
,,Erick Murai,MDC-T,Political Party,Party Member
,,Moses Manyengawana,MDC-T,Political Party,Party Member
,,Willias Madzimure,MDC-T,Political Party,Party Member
,,Lucia Matibenga,MDC-T,Political Party,Party Member
,,Nelson Chamisa,MDC-T,Political Party,Party Member
,,James Maridadi,MDC-T,Political Party,Party Member
,,Tendai Savanhu,ZANU PF,Political Party,Party Member
,,Jaison Passade,ZANU PF,Political Party,Party Member
,,Paurina Mpariwa,MDC-T,Political Party,Party Member
,,Gift Chimanikire,MDC-T,Political Party,Party Member
,,Unganai Tarusenga,MDC-T,Political Party,Party Member
,,Margaret Matienga,MDC-T,Political Party,Party Member
,,Elias Mudzuri,MDC-T,Political Party,Party Member
,,Alexio Musundire,MDC-T,Political Party,Party Member
,,Simon Chidhakwa,MDC-T,Political Party,Party Member
,,Ronald Muderedzwa,ZANU PF,Political Party,Party Member
,,William Mutomba,ZANU PF,Political Party,Party Member
,,Joseph Chinotimba,ZANU PF,Political Party,Party Member
,,Oliver Mandipaka,ZANU PF,Political Party,Party Member
,,Samuel Undenge,ZANU PF,Political Party,Party Member
,,Munacho Mutezo,ZANU PF,Political Party,Party Member
,,Raymore Machingura,ZANU PF,Political Party,Party Member
,,Win Busayi Mlambo,ZANU PF,Political Party,Party Member
,,Enock Porusingazi,ZANU PF,Political Party,Party Member
,,Adam Chimwamurombe,ZANU PF,Political Party,Party Member
,,Arnold Tsunga,MDC-T,Political Party,Party Member
,,Didymua Mutasa,ZANU PF,Political Party,Party Member
,,Patrick Chinamasa,ZANU PF,Political Party,Party Member
,,Francis Muchenje,ZANU PF,Political Party,Party Member
,,Mandi M. Chimene,ZANU PF,Political Party,Party Member
,,Kudzanayi Chipanga,ZANU PF,Political Party,Party Member
,,Prosper Mutseyami,MDC-T,Political Party,Party Member
,,Innocent Gonese,MDC-T,Political Party,Party Member
,,Batsirayi Pemhenayi,ZANU PF,Political Party,Party Member
,,Nyasha Chikwinya,ZANU PF,Political Party,Party Member
,,Christoper Mushohwe,ZANU PF,Political Party,Party Member
,,Trevor Saruwaka,MDC-T,Political Party,Party Member
,,Luke Musamvu,ZANU PF,Political Party,Party Member
,,Irene Zindi,ZANU PF,Political Party,Party Member
,,Hubert Nyanhongo,ZANU PF,Political Party,Party Member
,,Supa C. Mandiwanzira,ZANU PF,Political Party,Party Member
,,Kenneth S. Musanhi,ZANU PF,Political Party,Party Member
,,Toendepi Matangira,ZANU PF,Political Party,Party Member
,,Epmarcus Kanhanga,ZANU PF,Political Party,Party Member
,,Chriswell Mutematsaka,ZANU PF,Political Party,Party Member
,,Tabetha Kanengoni,ZANU PF,Political Party,Party Member
,,Edgar Chidavaenzi,ZANU PF,Political Party,Party Member
,,Fortune Chasi,ZANU PF,Political Party,Party Member
,,Kazembe Kazembe,ZANU PF,Political Party,Party Member
,,David Butau,ZANU PF,Political Party,Party Member
,,Christopher Kuruneri,ZANU PF,Political Party,Party Member
,,Noveti Muponora,ZANU PF,Political Party,Party Member
,,Saviour Kasukuwere,ZANU PF,Political Party,Party Member
,,Joice Mujuru,ZANU PF,Political Party,Party Member
,,Alfred Mufunga,ZANU PF,Political Party,Party Member
,,Christopher Chitindi,ZANU PF,Political Party,Party Member
,,Wonder Mashange,ZANU PF,Political Party,Party Member
,,Nicholas Goche,ZANU PF,Political Party,Party Member
,,Joseph Mapiki,ZANU PF,Political Party,Party Member
,,Felix Mhona,ZANU PF,Political Party,Party Member
,,Edgar Mbwembwe,ZANU PF,Political Party,Party Member
,,Michael Bimha,ZANU PF,Political Party,Party Member
,,Tendayi P. Zhanda,ZANU PF,Political Party,Party Member
,,Petronella Kadonye,ZANU PF,Political Party,Party Member
,,Biata B. Nyamupinga,ZANU PF,Political Party,Party Member
,,Washington Masvaire,ZANU PF,Political Party,Party Member
,,Ray Kaukonde,ZANU PF,Political Party,Party Member
,,Ambrose Mutinhiri,ZANU PF,Political Party,Party Member
,,Newten Kachepa,ZANU PF,Political Party,Party Member
,,Jonathan Samukange,INDEPENDENT,Political Party,Party Member
,,Aqualina Katsande,ZANU PF,Political Party,Party Member
,,Tendayi Makunde,ZANU PF,Political Party,Party Member
,,Biggie J. Matiza,ZANU PF,Political Party,Party Member
,,Ladislus Ndoro,ZANU PF,Political Party,Party Member
,,Mubvumbi Mawere,ZANU PF,Political Party,Party Member
,,Mable M. Chinomona,ZANU PF,Political Party,Party Member
,,david Chapfika,ZANU PF,Political Party,Party Member
,,Phineas Chiota,ZANU PF,Political Party,Party Member
,,Simbaneuta Mudarikwa,ZANU PF,Political Party,Party Member
,,Simon Musanhu,ZANU PF,Political Party,Party Member
,,Micheal Madanha,ZANU PF,Political Party,Party Member
,,Aldrin Musiiwa,ZANU PF,Political Party,Party Member
,,Webster Shamu,ZANU PF,Political Party,Party Member
,,Dextor T. Nduna,ZANU PF,Political Party,Party Member
,,Peter Mataruse,ZANU PF,Political Party,Party Member
,,Godfrey Beremauro,ZANU PF,Political Party,Party Member
,,Sarah Mahoka,ZANU PF,Political Party,Party Member
,,Reuben Marumahoko,ZANU PF,Political Party,Party Member
,,Temba Mliswa,ZANU PF,Political Party,Party Member
,,Fani Phanuel Phiri,ZANU PF,Political Party,Party Member
,,Isaac Mackenzie,ZANU PF,Political Party,Party Member
,,Godfrey Gandawa,ZANU PF,Political Party,Party Member
,,Kindness Paradza,ZANU PF,Political Party,Party Member
,,Thomas Maseko,ZANU PF,Political Party,Party Member
,,Sylvester Nguni,ZANU PF,Political Party,Party Member
,,Mike Gava,ZANU PF,Political Party,Party Member
,,Pater Haritotos,ZANU PF,Political Party,Party Member
,,Christopher Mutsvangwa,ZANU PF,Political Party,Party Member
,,Blessed Runesu,ZANU PF,Political Party,Party Member
,,Francis Mukwangwariwa,ZANU PF,Political Party,Party Member
,,Ignatius Chombo,ZANU PF,Political Party,Party Member
,,Walter Chidhakwa,ZANU PF,Political Party,Party Member
,,Ziyambi Ziyambi,ZANU PF,Political Party,Party Member
,,Kennedy Matimba,ZANU PF,Political Party,Party Member
,,Jeppy Jaboon,ZANU PF,Political Party,Party Member
,,Munyaradzi Kereke,ZANU PF,Political Party,Party Member
,,Denford Masiya,ZANU PF,Political Party,Party Member
,,Robert Mukwena,ZANU PF,Political Party,Party Member
,,Kalitso Gwanetsa,ZANU PF,Political Party,Party Member
,,Ephraim Gwanonodza,ZANU PF,Political Party,Party Member
,,Mathias Tongofa,ZANU PF,Political Party,Party Member
,,Mafios Vutete,ZANU PF,Political Party,Party Member
,,Lovemore Matuke,ZANU PF,Political Party,Party Member
,,Berta Chikwama,ZANU PF,Political Party,Party Member
,,Paul Chimedza,ZANU PF,Political Party,Party Member
,,Tongai Muzenda,ZANU PF,Political Party,Party Member
,,Edmond Mhere,ZANU PF,Political Party,Party Member
,,Davis Murapira,ZANU PF,Political Party,Party Member
,,Walter Mzembi,ZANU PF,Political Party,Party Member
,,Daniel Shumba,ZANU PF,Political Party,Party Member
,,Ezira Ruvai,ZANU PF,Political Party,Party Member
,,Chuma K. Bhasikiti,ZANU PF,Political Party,Party Member
,,Lamson Moyo,ZANU PF,Political Party,Party Member
,,Paradzai Chakona,ZANU PF,Political Party,Party Member
,,Samson T. Mukanduri,ZANU PF,Political Party,Party Member
,,Robson Mavenyengwa,ZANU PF,Political Party,Party Member
,,Mapetere D. V. Mawere,ZANU PF,Political Party,Party Member
,,Emmerson Mnangagwa,ZANU PF,Political Party,Party Member
,,Innocent Pedzisai,ZANU PF,Political Party,Party Member
,,Kizito Chivambe,ZANU PF,Political Party,Party Member
,,Cephas Sindi,ZANU PF,Political Party,Party Member
,,Justice Mayor Wdyajena,ZANU PF,Political Party,Party Member
,,Paul Mavima,ZANU PF,Political Party,Party Member
,,Jeffrey Runzirwai,ZANU PF,Political Party,Party Member
,,Dorothy Mangami,ZANU PF,Political Party,Party Member
,,Melenia Mahiya,ZANU PF,Political Party,Party Member
,,Leonard Chikomba,ZANU PF,Political Party,Party Member
,,Owen Ncube,ZANU PF,Political Party,Party Member
,,Miriam Makweya,ZANU PF,Political Party,Party Member
,,Sesel Zvidzai,ZANU PF,Political Party,Party Member
,,Masango Matambanadzo,ZANU PF,Political Party,Party Member
,,Makhosini Hlongwane,ZANU PF,Political Party,Party Member
,,Chiratidzo Mabuwa,ZANU PF,Political Party,Party Member
,,Joram Gumbo,ZANU PF,Political Party,Party Member
,,Settlement Chikwinya,MDC-T,Political Party,Party Member
,,Amos Chibaya,MDC-T,Political Party,Party Member
,,Harris Ncube,ZANU PF,Political Party,Party Member
,,Chenayimoyo D. F. Nhema,ZANU PF,Political Party,Party Member
,,Tapiwanashe Matangaidze,ZANU PF,Political Party,Party Member
,,Mtokozisi M. Mpofu,ZANU PF,Political Party,Party Member
,,Josephat Madubeko,ZANU PF,Political Party,Party Member
,,Daniel M. Ncube,ZANU PF,Political Party,Party Member
,,John Holder,ZANU PF,Political Party,Party Member
,,Fred Moyo,ZANU PF,Political Party,Party Member
,,Dubeko Sibanda,MDC-T,Political Party,Party Member
,,Joel G. Gabbuza,ZANU PF,Political Party,Party Member
,,Clifford Sibanda,ZANU PF,Political Party,Party Member
,,Brian Tshuma,MDC-T,Political Party,Party Member
,,Tose Wesley Sansole,MDC-T,Political Party,Party Member
,,Bekithemba Mpofu,ZANU PF,Political Party,Party Member
,,Sithemba Gumbo,ZANU PF,Political Party,Party Member
,,Martin Khumalo,ZANU PF,Political Party,Party Member
,,Sithembiso Nyoni,ZANU PF,Political Party,Party Member
,,Abednico Bhebhe,MDC-T,Political Party,Party Member
