Name,IsAlternative?,Party,IsChairperson?,Committee
"Gcwabaza, Mr NE",False,ANC,False,Economic Development
"Mabasa, Mr X",False,ANC,False,Economic Development
"Mohorosi, Ms MM",False,ANC,False,Economic Development
"Ntuli, Mr ZC",False,ANC,False,Economic Development
"Van der Merwe, Ms SC",False,ANC,False,Economic Development
"Ngonyama, Mr LS",False,COPE,False,Economic Development
"Mubu, Mr KS",False,DA,False,Economic Development
"Hoosan, Mr H",False,ID,False,Economic Development
"Hlengwa, Mr M",False,IFP,False,Economic Development
"Oriani-Ambrosini, Mr MG",True,IFP,False,Economic Development
"Skosana, Mr MB",False,IFP,False,Economic Development
"Holomisa, Mr BH",True,UDM,False,Economic Development
"Mathibela, Ms NF",False,ANC,False,Energy Portfolio Committee
"Mayatula, Prof SM",False,ANC,False,Energy Portfolio Committee
"Moloto, Mr KA",False,ANC,False,Energy Portfolio Committee
"Njikelana, Mr SJ",False,ANC,True,Energy Portfolio Committee
"Radebe, Mr GS",False,ANC,False,Energy Portfolio Committee
"Selau, Mr GJ",False,ANC,False,Energy Portfolio Committee
"Tinto, Ms B",False,ANC,False,Energy Portfolio Committee
"Ferguson, Ms BD",False,COPE,False,Energy Portfolio Committee
"Smalle, Mr JF",False,DA,False,Energy Portfolio Committee
"Greyling, Mr LW",False,ID,False,Energy Portfolio Committee
"Swart, Mr SN",True,ACDP,False,Finance Standing Committee
"Adams, Ms PE",False,ANC,False,Finance Standing Committee
"Luyenge, Dr Z",False,ANC,False,Finance Standing Committee
"Mashigo, Mr RM",False,ANC,False,Finance Standing Committee
"Mthethwa, Mr EM",False,ANC,False,Finance Standing Committee
"Mufamadi, Mr TA",False,ANC,True,Finance Standing Committee
"Tshabalala, Ms J",False,ANC,False,Finance Standing Committee
"Van Rooyen, Mr DD",False,ANC,False,Finance Standing Committee
"Koornhof, Mr NC",True,COPE,False,Finance Standing Committee
"Harris, Mr TD",False,DA,False,Finance Standing Committee
"Ross, Mr DC",False,DA,False,Finance Standing Committee
"Greyling, Mr LW",False,ID,False,Finance Standing Committee
"Oriani-Ambrosini, Mr MG",True,IFP,False,Finance Standing Committee
"Singh, Mr N",False,IFP,False,Finance Standing Committee
"Dudley, Ms C",True,ACDP,False,Health
"Dube, Ms MC",False,ANC,False,Health
"Goqwana, Mr B M",False,ANC,True,Health
"Kenye, Ms TE",False,ANC,False,Health
"Lekgetho, Mr G",False,ANC,False,Health
"Makhubela-Mashele, Ms LS",False,ANC,False,Health
"Motsepe, Ms RM",False,ANC,False,Health
"Ngcobo, Ms BT",False,ANC,False,Health
"Segale-Diswai, Ms MJ",False,ANC,False,Health
"Dikobo, Mr KJ",True,AZAPO,False,Health
"Kganare, Mr DA",True,COPE,False,Health
"Mnguni, Mr PB",True,COPE,False,Health
"Kopane, Ms SP",False,DA,False,Health
"Robinson, Ms D",False,DA,False,Health
"Hoosen, Mr MH",True,ID,False,Health
"Makhuba, Ms HN",True,IFP,False,Health
"Msweli, Ms HS",True,IFP,False,Health
"Dudley, Ms C",True,ACDP,False,Higher Education
"Chili, Ms DO",False,ANC,False,Higher Education
"Gina, Ms N",False,ANC,False,Higher Education
"Makhubele, Mr ZS",False,ANC,False,Higher Education
"Malale, Mr MI",False,ANC,True,Higher Education
"Mayatula, Prof SM",False,ANC,False,Higher Education
"Moni, Mr CM",False,ANC,False,Higher Education
"Radebe, Mr GS",False,ANC,False,Higher Education
"Sibiya, Ms D",False,ANC,False,Higher Education
"Nhanha, Mr MA",False,COPE,False,Higher Education
"Bosman, Mr LL",False,DA,False,Higher Education
"Lotriet, Dr A",False,DA,False,Higher Education
"Mpontshane, Mr MA",False,IFP,False,Higher Education
"Bhoola, Mr RB",True,MF,False,Higher Education
"Bothman, Ms SG",False,ANC,False,Home Affairs
"Gasebonwe, Ms TM",False,ANC,False,Home Affairs
"Gaum, Adv AH",False,ANC,False,Home Affairs
"Maduna, Ms P",False,ANC,False,Home Affairs
"Mathebe, Ms DH",False,ANC,False,Home Affairs
"Maunye, Ms MM",False,ANC,True,Home Affairs
"Mnisi, Ms NA",False,ANC,False,Home Affairs
"Thibedi, Mr JD",False,ANC,False,Home Affairs
"Mc Intosh, Mr GB",False,COPE,False,Home Affairs
"Rwexana, Ms SP",False,COPE,False,Home Affairs
"De Freitas, Mr MS",False,DA,False,Home Affairs
"Mnqasela, Mr M",False,DA,False,Home Affairs
"Mulder, Dr CP",False,FF+,False,Home Affairs
"McGluwa, Mr JJ",True,ID,False,Home Affairs
"Dambuza, Ms BN",False,ANC,True,Human Settlements
"Dlakude, Ms DE",False,ANC,False,Human Settlements
"Mashishi, Ms AC",False,ANC,False,Human Settlements
"Matshoba, Mr JM",False,ANC,False,Human Settlements
"Mnisi, Ms NA",False,ANC,False,Human Settlements
"Sosibo, Ms JE",False,ANC,False,Human Settlements
"Njobe, Ms MA",False,COPE,False,Human Settlements
"Duncan, Ms PC",False,DA,False,Human Settlements
"Mokgalapa, Mr S",False,DA,False,Human Settlements
"Sithole, Mr KP",True,IFP,False,Human Settlements
"Bhoola, Mr RB",True,MF,False,Human Settlements
"Dudley, Ms C",True,ACDP,False,International Relations and Cooperation
"Booi, Mr MS",False,ANC,False,International Relations and Cooperation
"Jacobus, Ms L",False,ANC,False,International Relations and Cooperation
"Magama, Mr HT",False,ANC,True,International Relations and Cooperation
"Newhoudt-Druchen, Ms WS",False,ANC,False,International Relations and Cooperation
"September, Ms CC",False,ANC,False,International Relations and Cooperation
"Sulliman, Mr EM",False,ANC,False,International Relations and Cooperation
"Ngonyama, Mr LS",False,COPE,False,International Relations and Cooperation
"Davidson, Mr IO",False,DA,False,International Relations and Cooperation
"Eloff, Mr EH",False,DA,False,International Relations and Cooperation
"Mncwango, Mr MA",False,IFP,False,International Relations and Cooperation
"Skosana, Mr MB",False,IFP,False,International Relations and Cooperation
"Holomisa, Mr BH",True,UDM,False,International Relations and Cooperation
"Swart, Mr SN",True,ACDP,False,Justice and Constitutional Development
"Holomisa, Nkosi SP",False,ANC,False,Justice and Constitutional Development
"Jeffrey, Mr JH",False,ANC,False,Justice and Constitutional Development
"Landers, Mr LT",False,ANC,True,Justice and Constitutional Development
"Ndabandaba, Prof LB",False,ANC,False,Justice and Constitutional Development
"Pilane-Majake, Ms MC",False,ANC,False,Justice and Constitutional Development
"Sibanyoni, Mr JB",False,ANC,False,Justice and Constitutional Development
"Sithole, Ms SC",False,ANC,False,Justice and Constitutional Development
"Adams, Ms LH",True,COPE,False,Justice and Constitutional Development
"Nhanha, Mr MA",False,COPE,False,Justice and Constitutional Development
"Schafer, Ms DA",False,DA,False,Justice and Constitutional Development
"Smuts, Ms M",False,DA,False,Justice and Constitutional Development
"Oriani-Ambrosini, Mr MG",True,IFP,False,Justice and Constitutional Development
"Van der Merwe, Mr JH",True,IFP,False,Justice and Constitutional Development
"Line-Hendriks, Ms H",False,ANC,False,Labour
"Makhubela-Mashele, Ms LS",False,ANC,False,Labour
"Manamela, Mr KB",False,ANC,False,Labour
"Maserumule, Mr FT",False,ANC,False,Labour
"Mlambo, Mr ME",False,ANC,False,Labour
"Nchabeleng, Mr ME",False,ANC,True,Labour
"Nyekemba, Mr E",False,ANC,False,Labour
"Williams, Mr AJ",False,ANC,False,Labour
"Kganare, Mr DA",True,COPE,False,Labour
"Ntshiqela, Mr P",False,COPE,False,Labour
"Motau, Mr SC",False,DA,False,Labour
"Van der Westhuizen, Mr AP",False,DA,False,Labour
"Alberts, Adv A",False,FF+,False,Labour
"Mncwango, Mr MA",False,IFP,False,Labour
"Ndlovu, Mr VB",True,IFP,False,Labour
"Bikani, Ms FC",False,ANC,True,Mining
"Gololo, Mr CL",False,ANC,False,Mining
"Gona, Mr MF",False,ANC,False,Mining
"Mathebe, Ms DH",False,ANC,False,Mining
"Mjobo, Ms LN",False,ANC,False,Mining
"Mohai, Mr S",False,ANC,False,Mining
"Mtshali, Mr E",False,ANC,False,Mining
"Ngele, Ms NJ",False,ANC,False,Mining
"Sonto, Mr MR",False,ANC,False,Mining
"Tinto, Ms B",False,ANC,False,Mining
"Mac Kenzie, Mr GP",True,COPE,False,Mining
"Mbhele, Mr PD",False,COPE,False,Mining
"Ndude, Ms H",True,COPE,False,Mining
"Lorimer, Mr JR",False,DA,False,Mining
"Schmidt, Adv HC",False,DA,False,Mining
"Meshoe, Rev KR",False,ACDP,False,Police
"Lekgetho, Mr G",False,ANC,False,Police
"Mlambo, Mr ME",False,ANC,False,Police
"Mocumi, Ms PA",False,ANC,False,Police
"Molebatsi, Ms MA",False,ANC,False,Police
"Sibiya, Ms D",False,ANC,False,Police
"van Wyk, Ms A",False,ANC,True,Police
"George, Mr ME",False,COPE,False,Police
"Ramatlakane, Mr L",False,COPE,False,Police
"Kohler-Barnard, Ms D",False,DA,False,Police
"Stubbe, Mr DJ",False,DA,False,Police
"Groenewald, Mr PJ",False,FF+,False,Police
"Mncwango, Mr MA",False,IFP,False,Police
"Ndlovu, Mr VB",True,IFP,False,Police
"Bhengu, Mr F",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Khumalo, Ms FE",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Kubayi, Ms MT",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Mdaka, Ms NM",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Molebatsi, Ms MA",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Mtshali, Mr E",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Pilusa-Mosoane, Ms ME",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Sosibo, Ms JE",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Thobejane, Mr SG",False,ANC,True,Private Members' Legislative Proposals and Special Petitions
"Tinto, Ms B",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Ximbi, Rev DL",False,ANC,False,Private Members' Legislative Proposals and Special Petitions
"Adams, Ms LH",True,COPE,False,Private Members' Legislative Proposals and Special Petitions
"Kilian, Ms JD",False,COPE,False,Private Members' Legislative Proposals and Special Petitions
"Van der Westhuizen, Mr AP",False,DA,False,Private Members' Legislative Proposals and Special Petitions
"Oriani-Ambrosini, Mr MG",True,IFP,False,Private Members' Legislative Proposals and Special Petitions
"Smith, Mr PF",False,IFP,False,Private Members' Legislative Proposals and Special Petitions
"Ainslie, Mr AR",False,ANC,False,Public Accounts
"Chiloane, Ms TD",False,ANC,False,Public Accounts
"Mangena, Ms MS",False,ANC,False,Public Accounts
"Moepeng, Mr JK",False,ANC,False,Public Accounts
"Muthambi, Ms AF",False,ANC,False,Public Accounts
"Nyalungu, Ms RE",False,ANC,False,Public Accounts
"Saal, Ms G",False,ANC,False,Public Accounts
"Thobejane, Mr SG",False,ANC,False,Public Accounts
"Godi, Mr NT",False,APC,True,Public Accounts
"Ramatlakane, Mr L",False,COPE,False,Public Accounts
"George, Dr DT",False,DA,False,Public Accounts
"Maynier, Mr D",False,DA,False,Public Accounts
"Rabie, Dr PJ",False,DA,False,Public Accounts
"Singh, Mr N",False,IFP,False,Public Accounts
"Mfundisi, Mr IS",False,UCDP,False,Public Accounts
"Borman, Ms GM",False,ANC,False,Public Enterprises
"Gololo, Mr CL",False,ANC,False,Public Enterprises
"Koornhof, Dr GW",False,ANC,False,Public Enterprises
"Maluleka, Mr HP",False,ANC,True,Public Enterprises
"Mokoena, Mr AD",False,ANC,False,Public Enterprises
"Pilane-Majake, Ms MC",False,ANC,False,Public Enterprises
"September, Ms CC",False,ANC,False,Public Enterprises
"Sonto, Mr MR",False,ANC,False,Public Enterprises
"Ximbi, Rev DL",False,ANC,False,Public Enterprises
"Nhanha, Mr MA",False,COPE,False,Public Enterprises
"Marais, Mr EJ",True,DA,False,Public Enterprises
"Michael, Ms NW",False,DA,False,Public Enterprises
"Oriani-Ambrosini, Mr MG",True,IFP,False,Public Enterprises
"Sithole, Mr KP",True,IFP,False,Public Enterprises
"Boshigo, Ms DF",False,ANC,False,Public Service and Administration
"Maluleke, Ms JM",False,ANC,False,Public Service and Administration
"Mohale, Ms MC",False,ANC,False,Public Service and Administration
"Moloi-Moropa, Ms JC",False,ANC,True,Public Service and Administration
"Nyekemba, Mr E",False,ANC,False,Public Service and Administration
"Williams, Mr AJ",False,ANC,False,Public Service and Administration
"Ramatlakane, Mr L",False,COPE,False,Public Service and Administration
"Du Toit, Mr D",False,DA,False,Public Service and Administration
"Marais, Mr SJ",False,DA,False,Public Service and Administration
"Msimang, Prof CT",True,IFP,False,Public Service and Administration
"Magubane, Mr E",False,ANC,False,Public Works
"Mabuza, Ms MC",False,ANC,True,Public Works
"Madlala, Ms NM",False,ANC,False,Public Works
"Madlopha, Ms CQ",False,ANC,False,Public Works
"Magubane, Mr D",False,ANC,False,Public Works
"Ngcengwane, Ms ND",False,ANC,False,Public Works
"Ngwenya-Mabila, Ms PC",False,ANC,False,Public Works
"November, Ms NT",False,ANC,False,Public Works
"Dreyer, Ms AM",False,DA,False,Public Works
"Van der Linde, Mr JJ",False,DA,False,Public Works
"Singh, Mr N",False,IFP,False,Public Works
"Sithole, Mr KP",True,IFP,False,Public Works
"Gaehler, Mr LB",False,UDM,False,Public Works
"Gaum, Adv AH",False,ANC,False,Rules of the National Assembly
"Jeffrey, Mr JH",False,ANC,False,Rules of the National Assembly
"Kubayi, Ms MT",False,ANC,False,Rules of the National Assembly
"Malale, Mr MI",False,ANC,False,Rules of the National Assembly
"Masutha, Mr TM",False,ANC,False,Rules of the National Assembly
"Mdakane, Mr MR",False,ANC,False,Rules of the National Assembly
"September, Ms CC",False,ANC,False,Rules of the National Assembly
"Kilian, Ms JD",False,COPE,False,Rules of the National Assembly
"Kalyan, Ms SV",False,DA,False,Rules of the National Assembly
"Marais, Mr EJ",True,DA,False,Rules of the National Assembly
"Watson, Mr A",False,DA,False,Rules of the National Assembly
"Mulder, Dr CP",False,FF+,False,Rules of the National Assembly
"Greyling, Mr LW",False,ID,False,Rules of the National Assembly
"Oriani-Ambrosini, Mr MG",True,IFP,False,Rules of the National Assembly
"Van der Merwe, Mr JH",True,IFP,False,Rules of the National Assembly
"Mandela, Nkosi ZM",False,ANC,False,Rural Development and Land Reform
"Matlanyane, Ms HF",False,ANC,False,Rural Development and Land Reform
"Ngwenya-Mabila, Ms PC",False,ANC,False,Rural Development and Land Reform
"November, Ms NT",False,ANC,False,Rural Development and Land Reform
"Thibedi, Mr JD",False,ANC,True,Rural Development and Land Reform
"Xaba, Ms PP",False,ANC,False,Rural Development and Land Reform
"Zulu, Prince BZ",False,ANC,False,Rural Development and Land Reform
"Berend, Ms S",False,COPE,False,Rural Development and Land Reform
"Botha, Mr T",True,COPE,False,Rural Development and Land Reform
"Mileham, Mr K",False,DA,False,Rural Development and Land Reform
"Swathe, Mr MM",False,DA,False,Rural Development and Land Reform
"Cebekhulu, Mr RN",True,IFP,False,Rural Development and Land Reform
"Msimang, Prof CT",True,IFP,False,Rural Development and Land Reform
"Skosana, Mr MB",False,IFP,False,Rural Development and Land Reform
"Mphahlele, Mr LM",True,PAC,False,Rural Development and Land Reform
"Mfundisi, Mr IS",False,UCDP,False,Rural Development and Land Reform
"Ntapane, Mr SZ",False,UDM,False,Rural Development and Land Reform
"Dunjwa, Ms ML",False,ANC,False,Science and Technology
"Line-Hendriks, Ms H",False,ANC,False,Science and Technology
"Mayatula, Prof SM",False,ANC,False,Science and Technology
"Mocumi, Ms PA",False,ANC,False,Science and Technology
"Ndlazi, Ms AZ",False,ANC,False,Science and Technology
"Ngcobo, Mr EN",False,ANC,True,Science and Technology
"Nonkonyana, Chief M",False,ANC,False,Science and Technology
"Dikobo, Mr KJ",True,AZAPO,False,Science and Technology
"Adams, Ms LH",True,COPE,False,Science and Technology
"Plaatjie, Ms SK",False,COPE,False,Science and Technology
"Kloppers-Lourens, Dr JC",False,DA,False,Science and Technology
"Van Dyk, Dr SM",False,DA,False,Science and Technology
"Greyling, Mr LW",False,ID,False,Science and Technology
"Smith, Mr PF",False,IFP,False,Science and Technology
"Dudley, Ms C",True,ACDP,False,Social Development
"Botha, Ms YR",False,ANC,True,Social Development
"Khumalo, Ms FE",False,ANC,False,Social Development
"Mafolo, Ms MV",False,ANC,False,Social Development
"Magagula, Mr VV",True,ANC,False,Social Development
"Ngubeni-Maluleka, Ms JP",False,ANC,False,Social Development
"Tshwete, Ms P",False,ANC,False,Social Development
"Xaba, Ms PP",False,ANC,False,Social Development
"Gcume, Ms NP",False,COPE,False,Social Development
"Plaatjie, Ms SK",False,COPE,False,Social Development
"More, Ms E",False,DA,False,Social Development
"Waters, Mr M",False,DA,False,Social Development
"Zikalala, Ms CN",True,IFP,False,Social Development
"Bhoola, Mr RB",True,MF,False,Social Development
"Kganyago, Mr NM",False,UDM,False,Social Development
"Dikgacwi, Mr MM",False,ANC,False,Sport and Recreation
"Dube, Ms MC",False,ANC,False,Sport and Recreation
"Lishivha, Ms TE",False,ANC,False,Sport and Recreation
"Mdakane, Mr MR",False,ANC,True,Sport and Recreation
"Mjobo, Ms LN",False,ANC,False,Sport and Recreation
"Mmusi, Mr SG",False,ANC,False,Sport and Recreation
"Sindane, Ms GS",False,ANC,False,Sport and Recreation
"Tseke, Ms GK",False,ANC,False,Sport and Recreation
"Koornhof, Mr NC",True,COPE,False,Sport and Recreation
"Mac Kenzie, Mr GP",True,COPE,False,Sport and Recreation
"Lee, Mr TD",False,DA,False,Sport and Recreation
"Rabotapi, Mr MW",False,DA,False,Sport and Recreation
"McGluwa, Mr JJ",True,ID,False,Sport and Recreation
"Paulse, Ms SU",False,ID,False,Sport and Recreation
"Hlengwa, Mr M",False,IFP,False,Sport and Recreation
"Mphahlele, Mr LM",True,PAC,False,Sport and Recreation
"Holomisa, Mr BH",True,UDM,False,Sport and Recreation
"Gelderblom, Mr JP",False,ANC,False,Standing Committee on Appropriations
"Mfulo, Ms A",False,ANC,False,Standing Committee on Appropriations
"Mkhulusi, Ms NN",False,ANC,False,Standing Committee on Appropriations
"Snell, Mr GT",False,ANC,False,Standing Committee on Appropriations
"Sogoni, Mr EM",False,ANC,True,Standing Committee on Appropriations
"Yengeni, Ms LE",False,ANC,False,Standing Committee on Appropriations
"Mac Kenzie, Mr GP",True,COPE,False,Standing Committee on Appropriations
"Ramatlakane, Mr L",False,COPE,False,Standing Committee on Appropriations
"Swart, Mr M",False,DA,False,Standing Committee on Appropriations
"Van Dyk, Dr SM",False,DA,False,Standing Committee on Appropriations
"McGluwa, Mr JJ",True,ID,False,Standing Committee on Appropriations
"Singh, Mr N",False,IFP,False,Standing Committee on Appropriations
"van der Merwe, Ms LL",True,IFP,False,Standing Committee on Appropriations
"Bikani, Ms FC",False,ANC,False,Standing Committee on Auditor General
"Moloi-Moropa, Ms JC",False,ANC,False,Standing Committee on Auditor General
"Moloto, Mr KA",False,ANC,False,Standing Committee on Auditor General
"Ndabandaba, Prof LB",False,ANC,False,Standing Committee on Auditor General
"Nxumalo, Ms MD",False,ANC,False,Standing Committee on Auditor General
"Tsebe, Ms SR",False,ANC,False,Standing Committee on Auditor General
"Yengeni, Ms LE",False,ANC,False,Standing Committee on Auditor General
"Mashiane, Ms LM",False,COPE,False,Standing Committee on Auditor General
"George, Dr DT",False,DA,False,Standing Committee on Auditor General
"Steenhuisen, Mr JH",False,DA,False,Standing Committee on Auditor General
"Singh, Mr N",False,IFP,False,Standing Committee on Auditor General
"Bam-Mugwanya, Ms V",False,ANC,False,Tourism
"Bhengu, Mr F",False,ANC,False,Tourism
"Gumede, Mr DM",False,ANC,True,Tourism
"Khorai, Mr LP",False,ANC,False,Tourism
"Lesoma, Ms RM",False,ANC,False,Tourism
"Makasi, Ms XC",False,ANC,False,Tourism
"Maluleke, Ms JM",False,ANC,False,Tourism
"Manganye, Ms J",False,ANC,False,Tourism
"Kotsi, Ms CM",True,COPE,False,Tourism
"Njobe, Ms MA",False,COPE,False,Tourism
"Farrow Mr, SB",False,DA,False,Tourism
"Sayedali Shah, Mr MR",False,DA,False,Tourism
"Smith, Mr PF",False,IFP,False,Tourism
"Zikalala, Ms CN",True,IFP,False,Tourism
"Ntapane, Mr SZ",False,UDM,False,Tourism
"Fubbs, Ms JL",False,ANC,True,Trade and Industry
"Gcwabaza, Mr NE",False,ANC,False,Trade and Industry
"Mabasa, Mr X",False,ANC,False,Trade and Industry
"Radebe, Mr BA",False,ANC,False,Trade and Industry
"Selau, Mr GJ",False,ANC,False,Trade and Industry
"Turok, Prof B",True,ANC,False,Trade and Industry
"Van der Merwe, Ms SC",False,ANC,False,Trade and Industry
"Wayile, Mr Z",False,ANC,False,Trade and Industry
"Huang, Mr C",False,COPE,False,Trade and Industry
"Mc Intosh, Mr GB",False,COPE,False,Trade and Industry
"Hill-Lews, Mr GG",False,DA,False,Trade and Industry
"James, Dr WG",False,DA,False,Trade and Industry
"Alberts, Adv A",False,FF+,False,Trade and Industry
"Oriani-Ambrosini, Mr MG",True,IFP,False,Trade and Industry
"Mphahlele, Mr LM",True,PAC,False,Trade and Industry
"Bhengu, Ms NR",False,ANC,True,Transport
"Dlakude, Ms DE",False,ANC,False,Transport
"Duma, Mr NM",False,ANC,False,Transport
"Mdaka, Ms NM",False,ANC,False,Transport
"Motsepe, Ms RM",False,ANC,False,Transport
