"OLD EVOLUTION 
CODE",Constituency Head,Name,Location,Province,Description,Area,Group,GEOGRAPHICAL NAME,WARDS
,Lehlohonolo James Letuka,DA Constituency Area: Gariep (Letsemeng Municipality),Letsemeng Municipality,Free State,Wards and municipalities in area: Letsemeng Municipality,FS 161,FSMPL,Gariep,Letsemeng Municipality
322PK,Lehlohonolo James Letuka,DA Constituency Area: Gariep (Kopanong Municipality),Kopanong Municipality,Free State,Wards and municipalities in area: Kopanong Municipality,FS 162,FSMPL,Gariep,Kopanong Municipality
-,Mariette Pittaway,DA Constituency Area: Metsi-Fube (Metsimaholo Municipality),Metsimaholo Municipality,Free State,Wards and municipalities in area: Metsimaholo Municipality,FS 204,FSMPL,Metsi-Fube,Metsimaholo Municipality
-,Mariette Pittaway,DA Constituency Area: Metsi-Fube (Mafube Municipality),Mafube Municipality,Free State,Wards and municipalities in area: Mafube Municipality,FS 205,FSMPL,Metsi-Fube,Mafube Municipality
452NC,Neil Gordon Campbell,DA Constituency Area: Alberton,Alberton,Gauteng,Wards and municipalities in area: 37 38 94 56 57 58 53 101 61,G-EAST,GPMPL,Alberton,37 38 94 56 57 58 53 101 61
-,Michele Odette Clarke,DA Constituency Area: Benoni,Benoni,Gauteng,Wards and municipalities in area: 28 29 27 73 24 25 26 65 66,G-EAST,GPMPL,Benoni,28 29 27 73 24 25 26 65 66
455JS,Janet Audrey Semple,DA Constituency Area: Boksburg East,Boksburg East,Gauteng,Wards and municipalities in area: 22 32 43 45 95 46 64,G-EAST,GPMPL,Boksburg East,22 32 43 45 95 46 64
-,Belinda Bozzoli (Van Onselen),DA Constituency Area: Boksburg West,Boksburg West,Gauteng,Wards and municipalities in area: 47 44 41 42 34 33 66,G-EAST,GPMP,Boksburg West,47 44 41 42 34 33 66
-,Gordon Mackay,DA Constituency Area: Brakpan,Brakpan,Gauteng,Wards and municipalities in area: 97 30 31 74 99 85 82 83 81 84,G-EAST,GPMP,Brakpan,97 30 31 74 99 85 82 83 81 84
-,Graham Anthony Keith Gersbach,DA Constituency Area: Bronberg,Bronberg,Gauteng,Wards and municipalities in area: 100 5 2 4 3 1 89 23,G-EAST,GPMPL,Bronberg,100 5 2 4 3 1 89 23
458PW,Paul Samuel Robert Willemburg,DA Constituency Area: Germiston,Germiston,Gauteng,Wards and municipalities in area: 20 21 93 36 35 39 40 51 50,G-EAST,GPMPL,Germiston,20 21 93 36 35 39 40 51 50
460GL,Lebogang Ludwig More,DA Constituency Area: Katlehong,Katlehong,Gauteng,Wards and municipalities in area: 52 54 49 48 55 59 60 63,G-EAST,GPMPL,Katlehong,52 54 49 48 55 59 60 63
456MW,Michael Waters,DA Constituency Area: Lethabong,Lethabong,Gauteng,Wards and municipalities in area: 10 11 90 12 13 17 18 19 92,G-EAST,GPMP,Lethabong,10 11 90 12 13 17 18 19 92
453GS,Glenda Jane Steyn,DA Constituency Area: Springs South,Springs South,Gauteng,Wards and municipalities in area: 76 79 80 77 88 98 87,G-EAST,GPMPL,Springs South,76 79 80 77 88 98 87
-,Ashor Nick Sarupen,DA Constituency Area: Springs-Daveyton,Springs-Daveyton,Gauteng,Wards and municipalities in area: 67 96 69 70 68 71 72 75,G-EAST,GPMPL,Springs-Daveyton,67 96 69 70 68 71 72 75
-,Refiloe Ntsekhe,DA Constituency Area: Tembisa,Tembisa,Gauteng,Wards and municipalities in area: 7 9 6 14 8 91 15 16,G-EAST,GPMPL,Tembisa,7 9 6 14 8 91 15 16
523SM,Sejamotopo Charles Motau,DA Constituency Area: Atteridgeville-Pta West,Atteridgeville-Pta West,Gauteng,Wards and municipalities in area: 7 55 3 51 62 63 72 68 71,G-NORTH,GPMP,Atteridgeville-Pta West,7 55 3 51 62 63 72 68 71
-,Solly Tshepiso Msimanga,DA Constituency Area: Centurion West,Centurion West,Gauteng,Wards and municipalities in area: 48 61 66 70 57 69 78 64 77,G-NORTH,GPMPL,Centurion West,48 61 66 70 57 69 78 64 77
-,Janho Engelbrecht,DA Constituency Area: Garankuwa & Rosslyn,Garankuwa & Rosslyn,Gauteng,Wards and municipalities in area: 30 31 32 4 98 2 50 96,G-NORTH,GPMPL,Garankuwa & Rosslyn,30 31 32 4 98 2 50 96
517KM,Kenneth Sililo Mubu,DA Constituency Area: Hammanskraal,Hammanskraal,Gauteng,Wards and municipalities in area: 13 14 95 76 75 74 49 73,G-NORTH,GPMP,Hammanskraal,13 14 95 76 75 74 49 73
-,Bridget Staff Masango,DA Constituency Area: Kungwini,Kungwini,Gauteng,Wards and municipalities in area: 102 103 104 105,G-NORTH,GPMP,Kungwini,102 103 104 105
521FN,Frederik Petrus Nel,DA Constituency Area: Lynnwood - Muckleneuk,Lynnwood - Muckleneuk,Gauteng,Wards and municipalities in area: 59 56 82 42 46 41 43 86,G-NORTH,GPMPL,Lynnwood - Muckleneuk,59 56 82 42 46 41 43 86
-,Marius Helenis Redelinghuys,DA Constituency Area: Mabopane-Winterveldt,Mabopane-Winterveldt,Gauteng,Wards and municipalities in area: 13 14 95 76 8 75 74 49 73,G-NORTH,GPMP,Mabopane-Winterveldt,13 14 95 76 8 75 74 49 73
522NM,Natasha Wendy Anita Michael,DA Constituency Area: Mamelodi,Mamelodi,Gauteng,Wards and municipalities in area: 38 67 6 28 23 18 15 16 17 40 97 10,G-NORTH,GPMP,Mamelodi,38 67 6 28 23 18 15 16 17 40 97 10
-,Glynnis Breytenbach,DA Constituency Area: Moot,Moot,Gauteng,Wards and municipalities in area: 1 58 60 80 92 53 54 52 84,G-NORTH,GPMP,Moot,1 58 60 80 92 53 54 52 84
-,Adriana Maria Randall,DA Constituency Area: Nokeng,Nokeng,Gauteng,Wards and municipalities in area: 73 99 100 87 93,G-NORTH,GPMPL,Nokeng,73 99 100 87 93
-,Justus De Goede,DA Constituency Area: Old East,Old East,Gauteng,Wards and municipalities in area: 79 65 47 83 45 85 91 101,G-NORTH,GPMPL,Old East,79 65 47 83 45 85 91 101
524SM,Stevens Mokgalapa,DA Constituency Area: Soshanguve North,Soshanguve North,Gauteng,Wards and municipalities in area: 11 25 26 28 29 33 34 88 94,G-NORTH,GPMP,Soshanguve North,11 25 26 28 29 33 34 88 94
-,Darren Bergman,DA Constituency Area: Soshanguve South,Soshanguve South,Gauteng,Wards and municipalities in area: 35 36 37 39 89 90,G-NORTH,GPMP,Soshanguve South,35 36 37 39 89 90
567RG,Patrick George Atkinson,DA Constituency Area: JHB Far South,JHB Far South,Gauteng,Wards and municipalities in area: 9 8 10 119 120 122,G-SOUTH,GPMP,JHB Far South,9 8 10 119 120 122
-,Roger William Tobias Chance,DA Constituency Area: Soweto 1 West,Soweto 1 West,Gauteng,Wards and municipalities in area: 13 14 16 20 21 33 34 52 53 130,G-SOUTH,GPMP,Soweto 1 West,13 14 16 20 21 33 34 52 53 130
552BS,Anchen Margaretha Dreyer,DA Constituency Area: Florida,Florida,Gauteng,Wards and municipalities in area: 70 71 82 83 84 85 127 128,G-SOUTH,GPMP,Florida,70 71 82 83 84 85 127 128
565MDF,Manuel Simao De Freitas,DA Constituency Area: JHB South,JHB South,Gauteng,Wards and municipalities in area: 23 54 55 56 57 124 125,G-SOUTH,GPMP,JHB South,23 54 55 56 57 124 125
-,Stanford Makashule Gana,DA Constituency Area: Phuthaditjhaba,Phuthaditjhaba,Gauteng,Wards and municipalities in area: 17 18 11 12 15 19 22 24 25,G-SOUTH,GPMP,Phuthaditjhaba,17 18 11 12 15 19 22 24 25
554DG,Dion Travers George,DA Constituency Area: Midrand East,Midrand East,Gauteng,Wards and municipalities in area: 93 112 77 78 79 80 92 110 111,G-SOUTH,GPMP,Midrand East,93 112 77 78 79 80 92 110 111
556JL,James Robert Bourne Lorimer,DA Constituency Area: Linden,Linden,Gauteng,Wards and municipalities in area: 68 69 86 87 88 98 99,G-SOUTH,GPMP,Linden,68 69 86 87 88 98 99
-,Cameron Mackenzie,DA Constituency Area: Midrand West,Midrand West,Gauteng,Wards and municipalities in area: 94 96 106 115 95 113,G-SOUTH,GPMP,Midrand West,94 96 106 115 95 113
-,Alan Ross Mcloughlin,DA Constituency Area: Emfuleni Central,Emfuleni Central,Gauteng,Wards and municipalities in area: 25 2 3 8 17 21 27 30 31 32 33 34 35 36,G-SOUTH,GPMP,Emfuleni Central,25 2 3 8 17 21 27 30 31 32 33 34 35 36
-,Tsepo Winston Mhlongo,DA Constituency Area: Soweto 3 East,Soweto 3 East,Gauteng,Wards and municipalities in area: 26 27 28 29 30 31 35 36 37 38 39 40,G-SOUTH,GPMP,Soweto 3 East,26 27 28 29 30 31 35 36 37 38 39 40
564IO,Ian Michael Ollis,DA Constituency Area: Alex/Sandton,Alex/Sandton,Gauteng,Wards and municipalities in area: 90 91 102 103 117 107 108 109,G-SOUTH,GPMP,Alex/Sandton,90 91 102 103 117 107 108 109
558HS,Hendrik Cornelius Schmidt,DA Constituency Area: Emfuleni South,Emfuleni South,Gauteng,Wards and municipalities in area: 1 4 5 6 7 9 10 11 12 13 14 15 16 22 23 45,G-SOUTH,GPMP,Emfuleni South,1 4 5 6 7 9 10 11 12 13 14 15 16 22 23 45
-,Heinrich Cyril Volmink,DA Constituency Area: JHB Central 2,JHB Central 2,Gauteng,Wards and municipalities in area: 58 59 60 61 62 63 123,G-SOUTH,GPMP,JHB Central 2,58 59 60 61 62 63 123
560JB,Jack Brian Bloom,DA Constituency Area: JHB Central 1,JHB Central 1,Gauteng,Wards and municipalities in area: 66 72 118 65 67 64,G-SOUTH,GPMPL,JHB Central 1,66 72 118 65 67 64
-,Mokhaugelo Solomon Chabalala,DA Constituency Area: Emfuleni North,Emfuleni North,Gauteng,Wards and municipalities in area: 18 19 20 24 26 28 29 37 38 39 40 41 42 43 44,G-SOUTH,GPMPL,Emfuleni North,18 19 20 24 26 28 29 37 38 39 40 41 42 43 44
555MM,Mervyn Hyman Cirota,DA Constituency Area: Alex/Houghton,Alex/Houghton,Gauteng,Wards and municipalities in area: 32 73 74 76 81 105 116 75,G-SOUTH,GPMPL,Alex/Houghton,32 73 74 76 81 105 116 75
562KL,Katherine Louise Lorimer,DA Constituency Area: JHB North West,JHB North West,Gauteng,Wards and municipalities in area: 89 97 101 104 126 100 114,G-SOUTH,GPMPL,JHB North West,89 97 101 104 126 100 114
561JM,John Clifford Moodey,DA Constituency Area: Orange Farm,Orange Farm,Gauteng,Wards and municipalities in area: 7 1 2 3 4 5 6 121,G-SOUTH,GPMPL,Orange Farm,7 1 2 3 4 5 6 121
563MW,Michael Sean Moriarty,DA Constituency Area: Midvaal         ,Midvaal         ,Gauteng,Wards and municipalities in area: 1 2 3 4 5 6 7 8 9 10 11 12 13 14,G-SOUTH,GPMPL,Midvaal         ,1 2 3 4 5 6 7 8 9 10 11 12 13 14
-,Michael Sean Moriarty,DA Constituency Area: Lesedi,Lesedi,Gauteng,Wards and municipalities in area: 1 2 3 4 5 6 7 8 9 10 11 12 13,,,Lesedi,1 2 3 4 5 6 7 8 9 10 11 12 13
566KR,Nkhumeni Ramulifho,DA Constituency Area: Soweto 4 East,Soweto 4 East,Gauteng,Wards and municipalities in area: 41 42 43 44 45 46 47 48 49 50 51 129,G-SOUTH,GPMPL,Soweto 4 East,41 42 43 44 45 46 47 48 49 50 51 129
583NVDB,Agatha Wilhelmina Cilliers,DA Constituency Area: Merafong,Merafong,Gauteng,Wards and municipalities in area: 1 to 28,W-WEST,GPMPL,Merafong,1 to 28
581AD,Alan Joseph Fuchs,DA Constituency Area: Mogale,Mogale,Gauteng,Wards and municipalities in area: 9 14 16 17 18 20 to 33,W-WEST,GPMPL,Mogale,9 14 16 17 18 20 to 33
582TW,Thomas Charles Ravenscroft Walters,DA Constituency Area: Randfontein/Kagiso,Randfontein/Kagiso,Gauteng,"Wards and municipalities in area: Randfontein 1-7 & Mogale 1-8, 10-13, 15, 19 & 34",W-WEST,GPMP,Randfontein/Kagiso,"Randfontein 1-7 & Mogale 1-8, 10-13, 15, 19 & 34"
-,Jacques Warren William Julius,DA Constituency Area: Westonaria/Toekomsrus,Westonaria/Toekomsrus,Gauteng,Wards and municipalities in area: Westonaria 1-16 & Randfontein 8-22,W-WEST,GPMP,Westonaria/Toekomsrus,Westonaria 1-16 & Randfontein 8-22
-,Timothy James Brauteseth,DA Constituency Area: West Durban (Ethekwini),West Durban (Ethekwini),KwaZulu-Natal,Wards and municipalities in area: 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 91 92 103,KZN,KZNMP,West Durban (Ethekwini),1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 91 92 103
-,Thomas Zwelakhe Hadebe,DA Constituency Area: Zululand West,Zululand West,KwaZulu-Natal,Wards and municipalities in area: Abaqulusi / Edumbe / Ulundi Municipalities,KZN,KZNMP,Zululand West,Abaqulusi / Edumbe / Ulundi Municipalities
668LM,Mohammed Haniff Hoosen,DA Constituency Area: Central Durban (Ethekwini),Central Durban (Ethekwini),KwaZulu-Natal,Wards and municipalities in area: 25 26 27 28 29 30 31 32 33 63 64 66 68 101,KZN,KZNMP,Central Durban (Ethekwini),25 26 27 28 29 30 31 32 33 63 64 66 68 101
677SK,Santosh Vinita Kalyan,DA Constituency Area: North Central Durban (Ethekwini),North Central Durban (Ethekwini),KwaZulu-Natal,Wards and municipalities in area: 38 39 40 41 42 43 44 45 46 47 53 54 55 56 57 58 59 60 61 62,KZN,KZNMP,North Central Durban (Ethekwini),38 39 40 41 42 43 44 45 46 47 53 54 55 56 57 58 59 60 61 62
671DKB,Dianne Kohler Barnard,DA Constituency Area: Durban South (Ethekwini),Durban South (Ethekwini),KwaZulu-Natal,"Wards and municipalities in area: 67 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 93 94 95 96 97 98 99 100 Vulamehlo Wards 1, 2 and 3 included",KZN,KZNMP,Durban South (Ethekwini),"67 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 93 94 95 96 97 98 99 100 Vulamehlo Wards 1, 2 and 3 included"
667GK,Gregory Rudy Krumbock,DA Constituency Area: uMgungundlovu West,uMgungundlovu West,KwaZulu-Natal,Wards and municipalities in area: Mpofana / uMngeni / Impendle Municipalities,KZN,KZNMP,uMgungundlovu West,Mpofana / uMngeni / Impendle Municipalities
675AL,Robert Alfred Lees,DA Constituency Area: uThukela,uThukela,KwaZulu-Natal,Wards and municipalities in area: Okahlamba / Emnambithi / Imbabazane / Umtshezi / Indaka Municipalities,KZN,KZNMP,uThukela,Okahlamba / Emnambithi / Imbabazane / Umtshezi / Indaka Municipalities
-,Dean William Macpherson,DA Constituency Area: uMgungundlovu East,uMgungundlovu East,KwaZulu-Natal,Wards and municipalities in area: uMshwathi / Richmond / Mkhambathini Municipalities,KZN,KZNMP,uMgungundlovu East,uMshwathi / Richmond / Mkhambathini Municipalities
669JS,John Henry Steenhuisen,DA Constituency Area: iLembe,iLembe,KwaZulu-Natal,Wards and municipalities in area: Maphumulo / Mandeni / Ndwedwe / KwaDukuza Municipalities,KZN,KZNMP,iLembe,Maphumulo / Mandeni / Ndwedwe / KwaDukuza Municipalities
-,Mergan Chetty,DA Constituency Area: uMzinyathi ,uMzinyathi ,KwaZulu-Natal,Wards and municipalities in area: Endumeni / Nqutu / Msinga / Umvoti Municipalities,KZN,KZNMP,uMzinyathi ,Endumeni / Nqutu / Msinga / Umvoti Municipalities
-,Imran Keeka,DA Constituency Area: Amajuba,Amajuba,KwaZulu-Natal,Wards and municipalities in area: Newcastle / Emandlangeni / Dannhauser Municipalities,KZN,KZNMPL,Amajuba,Newcastle / Emandlangeni / Dannhauser Municipalities
678GM,Ganesan Mari,DA Constituency Area: North Durban (Ethekwini),North Durban (Ethekwini),KwaZulu-Natal,Wards and municipalities in area: 11 34 35 36 37 48 49 50 51 52 102,KZN,KZNMPL,North Durban (Ethekwini),11 34 35 36 37 48 49 50 51 52 102
-,Ann Mellany Mcdonnell,DA Constituency Area: uThungulu,uThungulu,KwaZulu-Natal,Wards and municipalities in area: Nkandla / uMlazi / Mthonjaneni / Ntambanana / Mfolozi / Umhlathuze Municipalities,KZN,KZNMPL,uThungulu,Nkandla / uMlazi / Mthonjaneni / Ntambanana / Mfolozi / Umhlathuze Municipalities
670GM,Sizwe Wiseman Mchunu,DA Constituency Area: Midlands,Midlands,KwaZulu-Natal,Wards and municipalities in area: Msunduzi Municipality,KZN,KZNMPL,Midlands,Msunduzi Municipality
681UM,Mbali Ntuli,DA Constituency Area: uMkhanyakude,uMkhanyakude,KwaZulu-Natal,Wards and municipalities in area: uMhlabuyalingana / Jozini / The Big 5 False Bay / Hlabisa / Mtubatuba Municipalities,KZN,KZNMPL,uMkhanyakude,uMhlabuyalingana / Jozini / The Big 5 False Bay / Hlabisa / Mtubatuba Municipalities
679SM,Francois Adrianus Rodgers,DA Constituency Area: Sisonke,Sisonke,KwaZulu-Natal,Wards and municipalities in area: KwaSani / Greater Kokstad / Umzimkhulu / Ingwe / Ubuhlebezwe Municipalities,KZN,KZNMPL,Sisonke,KwaSani / Greater Kokstad / Umzimkhulu / Ingwe / Ubuhlebezwe Municipalities
672ME,Mohammed Rafeek Sayedali Shah,DA Constituency Area: South Durban (Ethekwini),South Durban (Ethekwini),KwaZulu-Natal,Wards and municipalities in area: 17 65 69 70 71 72 73 74 75,KZN,KZNMPL,South Durban (Ethekwini),17 65 69 70 71 72 73 74 75
674MS,Mark Harvey Steele,DA Constituency Area: UGU North,UGU North,KwaZulu-Natal,Wards and municipalities in area: Vulamehlo / Umzumbe / Umdoni Municipalities,KZN,KZNMPL,UGU North,Vulamehlo / Umzumbe / Umdoni Municipalities
-,Rishigen Viranna,DA Constituency Area: UGU South,UGU South,KwaZulu-Natal,Wards and municipalities in area: uMuziwabantu / Ezingoleni / Hibiscus Coast Municipalities,KZN,KZNMPL,UGU South,uMuziwabantu / Ezingoleni / Hibiscus Coast Municipalities
-,Hlanganani Siphelele Gumbi,DA Constituency Area: Zululand East,Zululand East,KwaZulu-Natal,Wards and municipalities in area: Pongola / Nongoma Municipalities,KZN,KZNMPL,Zululand East,Pongola / Nongoma Municipalities
-,Choloane David Matsepe,DA Constituency Area: Sekhukhune South (Ephraim Mogale / Elias Motsoaledi / Makhudutumaga),Sekhukhune South,Limpopo,Wards and municipalities in area: Ephraim Mogale / Elias Motsoaledi / Makhudutumaga,LIM,LIMMP,Sekhukhune South,Ephraim Mogale / Elias Motsoaledi / Makhudutumaga
701DVDW,Desiree Van Der Walt,DA Constituency Area: Limpopo South West (Thabazimbi / Lephelale / Bela Bela / Modimolle),South West,Limpopo,Wards and municipalities in area: Thabazimbi / Lephelale / Bela Bela / Modimolle,LIM,LIMMP,South West,Thabazimbi / Lephelale / Bela Bela / Modimolle
-,Evelyn Rayne Wilson,DA Constituency Area: Limpopo North East (Maruleng / Phalaborwa / Tzaneen),North East,Limpopo,Wards and municipalities in area: Maruleng / Phalaborwa / Tzaneen,LIM,LIMMP,North East,Maruleng / Phalaborwa / Tzaneen
