Atlas State,Atlas LGA Code,Atlas LGA Name,MapIt State,MapIt Area ID,MapIt LGA Area Name
Imo,IM:18,Ohaji/Egbema,Imo,393,Ohaji/Eg
Imo,IM:20,Onuimo,Imo,402,Unuimo
Imo,IM:25,Owerri Muicipal,Imo,399,Owerri Municipal
Jigawa,JG:13,Hadeija,Jigawa,415,Hadejia
Jigawa,JG:18,Kiri Kasama,Jigawa,420,KiriKasa
Jigawa,JG:21,Mallam Madori,Jigawa,423,MalamMad
Kaduna,KD:22,Zangon-Kataf,Kaduna,451,ZangonKa
Kano,KN:8,Danbatta,Kano,460,Dambatta
Kano,KN:9,Dawakin Kudu,Kano,461,DawakinK
Kano,KN:10,Dawakin Tofa,Kano,462,DawakinT
Kano,KN:31,Nassarawa,Kano,483,Nassaraw
Katsina,KT:24,Maiadua,Katsina,520,Mai'Adua
Katsina,KT:25,Malumefashi,Katsina,521,Malumfashi
Kebbi,KB:13,Koko-Besse,Kebbi,544,Koko/Bes
Kebbi,KB:19,Wasagu/Dank0,Kebbi,539,Danko Wasagu
Kogi,KG:10,Kabba-Bunu,Kogi,46,Kabba/Bu
Kogi,KG:11,Kogi (KK),Kogi,47,Kotonkar
Kogi,KG:13,Mopamuro,Kogi,49,Mopa-Muro
Kogi,KG:18,Olamabolo,Kogi,54,Olamabor
Kwara,KW:8,Ilorin West,Kwara,557,IlorinWe
Lagos,LA:9,Ibeju-Lekki,Lagos,574,Ibeju/Lekki
Lagos,LA:10,Ifako-iJaiye,Lagos,575,Ifako/Ijaye
Nassarawa,NW:9,Nassarawa,Nassarawa,594,Nasarawa
Nassarawa,NW:10,Nassarawa-Eggon,Nassarawa,595,Nassarawa Egon
Niger,NG:6,Chachanga,Niger,603,Chanchaga
Niger,NG:11,Kontogora,Niger,608,Kontogur
Ogun,OG:3,Ado-Odo-Ota,Ogun,625,AdoOdo/Ota
Ogun,OG:11,Ijebu-Ode,Ogun,633,IjebuOde
Ogun,OG:13,Imeko Afon,Ogun,635,Imeko-Afon
Ogun,OG:18,Ogun Waterside,Ogun,640,OgunWaterside
Ondo,OD:12,Ileoluji-Okeigbo,Ondo,74,IleOluji/Okeigbo
Osun,OS:1,Atakunmosa East,Osun,82,Atakumosa East
Osun,OS:2,Atakunmosa West,Osun,83,Atakumosa West
Oyo,OY:9,Ibadan South East,Oyo,675,IbadanSouth-East
Oyo,OY:23,Ogo Oluwa,Oyo,689,Ogo-Oluw
Oyo,OY:28,Orire,Oyo,694,Ori-Ire
Plateau,PL:9,Lantang North,Plateau,706,Langtang North
Plateau,PL:10,Lantang South,Plateau,707,Langtang South
Rivers,RV:4,Akuku-Toru,Rivers,718,Akukutor
Rivers,RV:15,Obio Akpor,Rivers,729,Obio/Akp
Rivers,RV:17,Ogu/Ibolo,Rivers,731,Ogu/Bolo
Rivers,RV:18,Okirika,Rivers,732,Okrika
Sokoto,SO:3,Dange Shuni,Sokoto,740,Dange-Shuni
Zamfara,ZF:8,Kaura-Namoda,Zamfara,802,Kaura-Na
