STATE NAME,STATE NUMBER,STATE CODE,LGA CODE,LGA NAME,PU PREFIX,SENATORIAL DISTRICT,FEDERAL CONSTITUENCY
AKWA IBOM,3,AK,19,NSIT ATAI,03/19/,Akwa Ibom North-East,Uyo/Uruan/Nsit Ata/Ibeskip Asutan
AKWA IBOM,3,AK,20,NSIT IBOM,03/20/,Akwa Ibom North-East,Etinan/ nsit/nsit Ubium
AKWA IBOM,3,AK,21,NSIT UBIUM,03/21/,Akwa Ibom North-East,Etinan/ nsit/nsit Ubium
AKWA IBOM,3,AK,22,Obot Akara,03/22/,Akwa Ibom North-West,Ikot Ekpene/ Essien Udim/ Obot Akara
AKWA IBOM,3,AK,23,OKOBO,03/23/,Akwa Ibom South,Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko
AKWA IBOM,3,AK,24,ONNA,03/24/,Akwa Ibom South,Eket/Onna/Esit/eket/ibeno
AKWA IBOM,3,AK,25,ORON,03/25/,Akwa Ibom South,Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko
AKWA IBOM,3,AK,26,ORUK ANAM,03/26/,Akwa Ibom North-West,Ukanafun/Oruk anam
AKWA IBOM,3,AK,27,UDUNG UKO,03/27/,Akwa Ibom South,Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko
AKWA IBOM,3,AK,28,UKANAFUN,03/28/,Akwa Ibom North-West,Ukanafun/Oruk anam
AKWA IBOM,3,AK,29,URUAN,03/29/,Akwa Ibom North-East,Uyo/Uruan/Nsit Ata/Ibeskip Asutan
AKWA IBOM,3,AK,30,URUE-OFFONG/ORUKO,03/30/,Akwa Ibom South,Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko
AKWA IBOM,3,AK,31,UYO,03/31/,Akwa Ibom North-East,Uyo/Uruan/Nsit Ata/Ibeskip Asutan
ANAMBRA,4,AN,1,AGUATA,04/01/,Anambra South,Aguta
ANAMBRA,4,AN,2,AKWA NORTH,04/02/,Anambra Central,Awka North/South
ANAMBRA,4,AN,3,AKWA SOUTH,04/03/,Anambra Central,Awka North/South
ANAMBRA,4,AN,4,ANAMBRA EAST,04/04/,Anambra North,Anambra East/West
ANAMBRA,4,AN,5,ANAMBRA WEST,04/05/,Anambra North,Anambra East/West
ANAMBRA,4,AN,6,ANAOCHA,04/06/,Anambra Central,Anaocha/Njikoka/Dunukofia
ANAMBRA,4,AN,7,AYAMELUM,04/07/,Anambra North,Oyi/Ayamelum
ANAMBRA,4,AN,8,DUNUKOFIA,04/08/,Anambra Central,Anaocha/Njikoka/Dunukofia
ANAMBRA,4,AN,9,EKWISIGO,04/09/,Anambra South,Nnewi North/South/Ekwusigo
ANAMBRA,4,AN,10,IDEMILI NORTH,04/10/,Anambra Central,Idemili North/South
ANAMBRA,4,AN,11,IDEMILI SOUTH,04/11/,Anambra Central,Idemili North/South
ANAMBRA,4,AN,12,IHIALA,04/12/,Anambra South,Ihiala
ANAMBRA,4,AN,13,NJIKOKA,04/13/,Anambra Central,Anaocha/Njikoka/Dunukofia
ANAMBRA,4,AN,14,NNEWI NORTH,04/14/,Anambra South,Nnewi North/South/Ekwusigo
ANAMBRA,4,AN,15,NNEWI SOUTH,04/15/,Anambra South,Nnewi North/South/Ekwusigo
ANAMBRA,4,AN,16,OGBARU,04/16/,Anambra North,Ogbaru
ANAMBRA,4,AN,17,ONITSHA NORTH,04/17/,Anambra North,Onitsha North/South
ANAMBRA,4,AN,18,ONITSHA SOUTH,04/18/,Anambra North,Onitsha North/South
ANAMBRA,4,AN,19,ORUMBA NORTH,04/19/,Anambra South,Orumba North/South
ANAMBRA,4,AN,20,ORUMBA SOUTH,04/20/,Anambra South,Orumba North/South
ANAMBRA,4,AN,21,OYI,04/21/,Anambra North,Oyi/Ayamelum
BAUCHI,5,BA,1,ALKALERI,05/01/,Bauchi South,Alkaleri/Kirfi
BAUCHI,5,BA,2,BAUCHI,05/02/,Bauchi South,Bauchi
BAUCHI,5,BA,3,BOGORO,05/03/,Bauchi South,BOGORO/ DASS/ TAFAWA BALEWA
BAUCHI,5,BA,4,DAMBAN,05/04/,Bauchi Central,Misau/Damban
BAUCHI,5,BA,5,DARAZO,05/05/,Bauchi Central,Darazo/Ganjuwa
BAUCHI,5,BA,6,DASS,05/06/,Bauchi South,BOGORO/ DASS/ TAFAWA BALEWA
BAUCHI,5,BA,7,GAMAWA,05/07/,Bauchi North,Gamawa
BAUCHI,5,BA,8,GANJUWA,05/08/,Bauchi Central,Darazo/Ganjuwa
BAUCHI,5,BA,9,GIADE,05/09/,Bauchi North,Shira/Giade
BAUCHI,5,BA,10,ITAS-GADAU,05/10/,Bauchi North,Jama'are/itas-gadau
BAUCHI,5,BA,11,JAMA'ARE,05/11/,Bauchi North,Jama'are/itas-gadau
BAUCHI,5,BA,12,KATAGUM,05/12/,Bauchi North,Katagum
BAUCHI,5,BA,13,KIRFI,05/13/,Bauchi South,Alkaleri/Kirfi
BAUCHI,5,BA,14,MISAU,05/14/,Bauchi Central,Misau/Damban
BAUCHI,5,BA,15,NINGI,05/15/,Bauchi Central,Ningi/Warji
BAUCHI,5,BA,16,SHIRA,05/16/,Bauchi North,Shira/Giade
BAUCHI,5,BA,17,TAFAWA BALEWA,05/17/,Bauchi South,BOGORO/ DASS/ TAFAWA BALEWA
BAUCHI,5,BA,18,TORO,05/18/,Bauchi South,Toro
BAUCHI,5,BA,19,WARJI,05/19/,Bauchi Central,Ningi/Warji
BAUCHI,5,BA,20,ZAKI,05/20/,Bauchi North,Zaki
BAYELSA,6,BY,1,BRASS,06/01/,Bayelsa East,Brass/Nembe
BAYELSA,6,BY,2,EKEREMOR,06/02/,Bayelsa West,Sagbama/Ekeremor
BAYELSA,6,BY,3,KOLOKUMA/OPOKUMA,06/03/,Bayelsa Central,Yenagoa/Kolokuma/Opokuma
BAYELSA,6,BY,4,NEMBE,06/04/,Bayelsa East,Brass/Nembe
BAYELSA,6,BY,5,OGBIA,06/05/,Bayelsa East,Ogbia
BAYELSA,6,BY,6,SAGBAMA,06/06/,Bayelsa West,Sagbama/Ekeremor
BAYELSA,6,BY,7,SOUTHERN IJAW,06/07/,Bayelsa Central,Southern Ijaw
BAYELSA,6,BY,8,YENAGOA,06/08/,Bayelsa Central,Yenagoa/Kolokuma/Opokuma
BENUE,7,BE,1,ADO,07/01/,Benue South,Ado/Ogbadigba/Okpokwu
BENUE,7,BE,2,AGATU,07/02/,Benue South,Apa/Aguta
BENUE,7,BE,3,APA,07/03/,Benue South,Apa/Aguta
BENUE,7,BE,4,BURUKU,07/04/,Benue North-West,Buruku
BENUE,7,BE,5,GBOKO,07/05/,Benue North-West,Gboko/Tarka
BENUE,7,BE,6,GUMA,07/06/,Benue North-West,Makurdi/Guma
BENUE,7,BE,7,GWER-EAST,07/07/,Benue North-West,Gwer-East/Gwer-West
BENUE,7,BE,8,GWER-WEST,07/08/,Benue North-West,Gwer-East/Gwer-West
BENUE,7,BE,9,KATSINA-NLA,07/09/,Benue North-East,Katsina-Ala/Ukum/Logo
BENUE,7,BE,10,KONSHISHA,07/10/,Benue North-East,Vandeikya/Konshisha
BENUE,7,BE,11,KWANDE,07/11/,Benue North-East,Kwande/Ushongo
BENUE,7,BE,12,LOGO,07/12/,Benue North-East,Katsina-Ala/Ukum/Logo
BENUE,7,BE,13,MARKUDI,07/13/,Benue North-West,Makurdi/Guma
BENUE,7,BE,14,OBI,07/14/,Benue South,Oju/Obi
BENUE,7,BE,15,OGBADIBO,07/15/,Benue South,Ado/Ogbadigba/Okpokwu
BENUE,7,BE,16,OHIMINI,07/16/,Benue South,Otukpo/Ohimini
BENUE,7,BE,17,OJU,07/17/,Benue South,Oju/Obi
BENUE,7,BE,18,OKPOKWU,07/18/,Benue South,Ado/Ogbadigba/Okpokwu
BENUE,7,BE,19,OTUKPO,07/19/,Benue South,Otukpo/Ohimini
BENUE,7,BE,20,TARKA,07/20/,Benue North-West,Gboko/Tarka
BENUE,7,BE,21,UKUM,07/21/,Benue North-East,Katsina-Ala/Ukum/Logo
BENUE,7,BE,22,USHONGO,07/22/,Benue North-East,Kwande/Ushongo
BENUE,7,BE,23,VANDEIKYA,07/23/,Benue North-East,Vandeikya/Konshisha
BORNO,8,BO,1,ABADAM,08/01/,Borno North ,Kukawa/Mobbar/Abadam/Guzamala
BORNO,8,BO,2,ASKIRA/UBA,08/02/,Borno South,Askira-Uba/Hawul
BORNO,8,BO,3,BAMA,08/03/,Borno Central,Bama/Ngala/Kala-Balge
BORNO,8,BO,4,BAYO,08/04/,Borno South,Biu/Bayo/Shani/Kwaya Kusar
BORNO,8,BO,5,BIU,08/05/,Borno South,Biu/Bayo/Shani/Kwaya Kusar
BORNO,8,BO,6,CHIBOK,08/06/,Borno South,Damboa/Gwoza/Chibok
BORNO,8,BO,7,DAMBOA,08/07/,Borno South,Damboa/Gwoza/Chibok
BORNO,8,BO,8,DIKWA,08/08/,Borno Central,Dikwa/Mafa/Konduga
BORNO,8,BO,9,GUBIO,08/09/,Borno North ,Kaga/Gubio/Magumeri
BORNO,8,BO,10,GUZAMALA,08/10/,Borno North ,Kukawa/Mobbar/Abadam/Guzamala
BORNO,8,BO,11,GWOZA,08/11/,Borno South,Damboa/Gwoza/Chibok
BORNO,8,BO,12,HAWUL,08/12/,Borno South,Askira-Uba/Hawul
BORNO,8,BO,13,JERE,08/13/,Borno Central,Jere
BORNO,8,BO,14,KAGA,08/14/,Borno North ,Kaga/Gubio/Magumeri
BORNO,8,BO,15,KALA/BALGE,08/15/,Borno Central,Bama/Ngala/Kala-Balge
BORNO,8,BO,16,KONDUGA,08/16/,Borno Central,Dikwa/Mafa/Konduga
BORNO,8,BO,17,KUKAWA,08/17/,Borno North ,Kukawa/Mobbar/Abadam/Guzamala
BORNO,8,BO,18,KWAYA KUSAR,08/18/,Borno South,Biu/Bayo/Shani/Kwaya Kusar
BORNO,8,BO,19,MAFA,08/19/,Borno Central,Dikwa/Mafa/Konduga
BORNO,8,BO,20,MAGUMERI,08/20/,Borno North ,Kaga/Gubio/Magumeri
BORNO,8,BO,21,MAIDUGURI,08/21/,Borno Central,Maiduguri (Metropolitan)
BORNO,8,BO,22,MARTE,08/22/,Borno North ,Monguno/Marte/Nganzai
BORNO,8,BO,23,MOBBAR,08/23/,Borno North ,Kukawa/Mobbar/Abadam/Guzamala
BORNO,8,BO,24,MONGUNO,08/24/,Borno North ,Monguno/Marte/Nganzai
BORNO,8,BO,25,NGALA,08/25/,Borno Central,Bama/Ngala/Kala-Balge
BORNO,8,BO,26,NGANZAI,08/26/,Borno North,Monguno/Marte/Nganzai
BORNO,8,BO,27,SHANI,08/27/,Borno South,Biu/Bayo/Shani/Kwaya Kusar
CROSS RIVER,9,CR,1,ABI,09/01/,Cross River Central,Yakurr/Abi
CROSS RIVER,9,CR,2,AKAMKPA,09/02/,Cross River South,Akamkpa/Biase
CROSS RIVER,9,CR,3,AKPABUYO,09/03/,Cross River South,Akpabuyo/Bakassi/Calabar South
CROSS RIVER,9,CR,4,BAKASSI,09/04/,Cross River South,Akpabuyo/Bakassi/Calabar South
CROSS RIVER,9,CR,5,BEKWARA,09/05/,Cross River North,Bekwarra/Obudu/Obanliku
CROSS RIVER,9,CR,6,BIASE,09/06/,Cross River South,Akamkpa/Biase
CROSS RIVER,9,CR,7,BOKI,09/07/,Cross River Central,Ikom/Boki
CROSS RIVER,9,CR,8,CALABAR-MUNICIPAL,09/08/,Cross River South,Calabar Munincipal/Odukpani
CROSS RIVER,9,CR,9,CALABAR-SOUTH,09/09/,Cross River South,Akpabuyo/Bakassi/Calabar South
CROSS RIVER,9,CR,10,ETUNG,09/10/,Cross River Central,Obubra/Etung
CROSS RIVER,9,CR,11,IKOM,09/11/,Cross River Central,Ikom/Boki
CROSS RIVER,9,CR,12,OBANLIKU,09/12/,Cross River North,Bekwarra/Obudu/Obanliku
CROSS RIVER,9,CR,13,OBUBRA,09/13/,Cross River Central,Obubra/Etung
CROSS RIVER,9,CR,14,OBUDU,09/14/,Cross River North,Bekwarra/Obudu/Obanliku
CROSS RIVER,9,CR,15,ODUKPANI,09/15/,Cross River South,Calabar Munincipal/Odukpani
CROSS RIVER,9,CR,16,OGOJA,09/16/,Cross River North,Ogoja/Yala
CROSS RIVER,9,CR,17,YAKURR,09/17/,Cross River Central,Yakurr/Abi
CROSS RIVER,9,CR,18,YALA,09/18/,Cross River North,Ogoja/Yala
DELTA,10,DE,1,ANIOCHA NORTH,10/01/,Delta North,Aniocha North/South
DELTA,10,DE,2,ANIOCHA SOUTH,10/02/,Delta North,Aniocha North/South
DELTA,10,DE,3,BOMADI,10/03/,Delta South,Bomadi/Patani
DELTA,10,DE,4,BURUTU,10/04/,Delta South,Burutu
DELTA,10,DE,5,ETHIOPE EAST,10/05/,Delta Central,Ethiope
DELTA,10,DE,6,ETHIOPE WEST,10/06/,Delta Central,Ethiope
DELTA,10,DE,7,IKA NORTH-EAST,10/07/,Delta North,Ika
DELTA,10,DE,8,IKA SOUTH,10/08/,Delta North,Ika
DELTA,10,DE,9,ISOKO NORTH,10/09/,Delta South,Isoko North/South
DELTA,10,DE,10,ISOKO SOUTH,10/10/,Delta South,Isoko North/South
DELTA,10,DE,11,NDOKWA EAST,10/11/,Delta North,Ndokwa/Ukwani
DELTA,10,DE,12,NDOKWA WEST,10/12/,Delta North,Ndokwa/Ukwani
DELTA,10,DE,13,OKPE,10/13/,Delta Central,Okpe/Sapele/Uvwie
DELTA,10,DE,14,OSHIMILI NORTH,10/14/,Delta North,Aniocha North/South
DELTA,10,DE,15,OSHIMILI SOUTH,10/15/,Delta North,Aniocha North/South
DELTA,10,DE,16,PATANI,10/16/,Delta South,Bomadi/Patani
DELTA,10,DE,17,SAPELE,10/17/,Delta Central,Okpe/Sapele/Uvwie
DELTA,10,DE,18,UDU,10/18/,Delta Central,Ughelli North/South/Udu
DELTA,10,DE,19,UGHELLI NORTH,10/19/,Delta Central,Ughelli North/South/Udu
DELTA,10,DE,20,UGHELLI SOUTH,10/20/,Delta Central,Ughelli North/South/Udu
DELTA,10,DE,21,UKWUANI,10/21/,Delta North,Ndokwa/Ukwani
DELTA,10,DE,22,UVWIE,10/22/,Delta Central,Okpe/Sapele/Uvwie
DELTA,10,DE,23,WARRI NORTH,10/23/,Delta South,Warri
DELTA,10,DE,24,WARRI SOUTH,10/24/,Delta South,Warri
DELTA,10,DE,25,WARRI SOUTH WEST,10/25/,Delta South,Warri
EBONYI,11,EB,1,ABAKALIKI,11/01/,Ebonyi North,Abakaliki/Izzi
EBONYI,11,EB,2,AFIKPO NORTH,11/02/,Ebonyi Central,Afikpo North/Afikpo South
EBONYI,11,EB,3,AFIKPO SOUTH,11/03/,Ebonyi Central,Afikpo North/Afikpo South
EBONYI,11,EB,4,EBONYI,11/04/,Ebonyi North,Ohaukwu/Ebonyi
EBONYI,11,EB,5,EZZA NORTH,11/05/,Ebonyi South,Ezza North/Ishielu
EBONYI,11,EB,6,EZZA SOUTH,11/06/,Ebonyi South,Ikwo/Ezza South
EBONYI,11,EB,7,IKWO,11/07/,Ebonyi South,Ikwo/Ezza South
EBONYI,11,EB,8,ISHIELU,11/08/,Ebonyi South,Ezza North/Ishielu
EBONYI,11,EB,9,IVO,11/09/,Ebonyi Central,Ivo/Ohaozara/Onicha
EBONYI,11,EB,10,IZZI,11/10/,Ebonyi North,Abakaliki/Izzi
EBONYI,11,EB,11,OHAOZARA,11/11/,Ebonyi Central,Ivo/Ohaozara/Onicha
EBONYI,11,EB,12,OHAUKWU,11/12/,Ebonyi North,Ohaukwu/Ebonyi
EBONYI,11,EB,13,ONICHA,11/13/,Ebonyi Central,Ivo/Ohaozara/Onicha
EDO,12,ED,1,AKOKO-EDO,12/01/,Edo North,Akoko-Edo
EDO,12,ED,2,EGOR,12/02/,Edo South,Egor/Ikpoba-okha
EDO,12,ED,3,ESAN CENTRAL,12/03/,Edo Central,Esan Central/West/Igueben
EDO,12,ED,4,ESAN NORTH-EAST,12/04/,Edo Central,Esan North-East/Esan South- East
EDO,12,ED,5,ESAN SOUTH-EAST,12/05/,Edo Central,Esan North-East/Esan South- East
EDO,12,ED,6,ESAN WEST,12/06/,Edo Central,Esan Central/West/Igueben
EDO,12,ED,7,ETSAKO CENTRAL,12/07/,Edo North,Etsako East/West/Central
EDO,12,ED,8,ETSAKO EAST,12/08/,Edo North,Etsako East/West/Central
EDO,12,ED,9,ETSAKO WEST,12/09/,Edo North,Etsako East/West/Central
EDO,12,ED,10,IGUEBEN,12/10/,Edo Central,Esan Central/West/Igueben
EDO,12,ED,11,IKPOBA OKHA,12/11/,Edo South,Egor/Ikpoba-okha
EDO,12,ED,12,OREDO,12/12/,Edo South,Oredo
EDO,12,ED,13,ORHIONMWON,12/13/,Edo South,Orhionmwon/Uhunmwode
EDO,12,ED,14,OVIA SOUTH-WEST,12/14/,Edo South,Ovia South-West/Ovia North-East
EDO,12,ED,15,OVIA NORTH-EAST,12/15/,Edo South,Ovia South-West/Ovia North-East
EDO,12,ED,16,OWAN EAST,12/16/,Edo North,Owan West/East
EDO,12,ED,17,OWAN WEST,12/17/,Edo North,Owan West/East
EDO,12,ED,18,UHUNMWODE,12/18/,Edo South,Orhionmwon/Uhunmwode
EKITI,13,EK,1,ADO-EKITI,13/01/,Ekiti Central,ADO EKITI/IREPODUN/IFELODUN
EKITI,13,EK,2,AIYEDIRE(GBONYIN),13/02/,Ekiti South,EMURE/GBOYIN/EKITI EAST
EKITI,13,EK,3,EFON,13/03/,Ekiti Central,IJERO/EKITI WEST/ EFON
EKITI,13,EK,4,EKITI EAST,13/04/,Ekiti South,EMURE/GBOYIN/EKITI EAST
EKITI,13,EK,5,EKITI SOUTH WEST,13/05/,Ekiti South,EKITI SOUTH WEST/IKERE/ORUN ISE
EKITI,13,EK,6,EKITI WEST,13/06/,Ekiti Central,IJERO/EKITI WEST/ EFON
EKITI,13,EK,7,EMURE,13/07/,Ekiti South,EMURE/GBOYIN/EKITI EAST
EKITI,13,EK,8,IDO-OSI,13/08/,Ekiti North,IDO-OSI/MOBA/ILEJEMEJE
EKITI,13,EK,9,IJERO,13/09/,Ekiti Central,IJERO/EKITI WEST/ EFON
EKITI,13,EK,10,IKERE,13/10/,Ekiti South,EKITI SOUTH WEST/IKERE/ORUN ISE
EKITI,13,EK,11,IKOLE,13/11/,Ekiti North,IKOLE/OYE
EKITI,13,EK,12,ILEJEMEJE,13/12/,Ekiti North,IDO-OSI/MOBA/ILEJEMEJE
EKITI,13,EK,13,IREPODUN/IFELODUN,13/13/,Ekiti Central,ADO EKITI/IREPODUN/IFELODUN
EKITI,13,EK,14,ISE/ORUN,13/14/,Ekiti South,EKITI SOUTH WEST/IKERE/ORUN ISE
EKITI,13,EK,15,MOBA,13/15/,Ekiti North,IDO-OSI/MOBA/ILEJEMEJE
EKITI,13,EK,16,OYE,13/16/,Ekiti North,IKOLE/OYE
ENUGU,14,EN,1,Aninri,14/01/,Enugu West,Aninri/Agwu/Oji-uzo
ENUGU,14,EN,2,Awgu,14/02/,Enugu West,Aninri/Agwu/Oji-uzo
ENUGU,14,EN,3,Enugu East,14/03/,Enugu East,Enugu East/Isi-Uzo
ENUGU,14,EN,4,Enugu North,14/04/,Enugu East,Enugu North/South
ENUGU,14,EN,5,Enugu South,14/05/,Enugu East,Enugu North/South
ENUGU,14,EN,6,Ezeagu,14/06/,Enugu West,Ezeagu/Udi
ENUGU,14,EN,7,Igbo-Etti,14/07/,Enugu North,Igbo-Etiti/Uzo-Uwani
ENUGU,14,EN,8,Igbo-Eze North,14/08/,Enugu North,Igboeze North/Udenu
ENUGU,14,EN,9,Igbo-Eze South,14/09/,Enugu North,Nsukka/ Igboeze South
ENUGU,14,EN,10,Isi-Uzo,14/10/,Enugu East,Enugu East/Isi-Uzo
ENUGU,14,EN,11,Nkanu East,14/11/,Enugu East,Nkanu East/Nkanu West
ENUGU,14,EN,12,Nkanu West,14/12/,Enugu East,Nkanu East/Nkanu West
ENUGU,14,EN,13,Nsukka,14/13/,Enugu North,Nsukka/ Igboeze South
ENUGU,14,EN,14,Oji River,14/14/,Enugu West,Aninri/Agwu/Oji-uzo
ENUGU,14,EN,15,Udenu,14/15/,Enugu North,Igboeze North/Udenu
ENUGU,14,EN,16,Udi,14/16/,Enugu West,Ezeagu/Udi
ENUGU,14,EN,17,Uzo-Uwani,14/17/,Enugu North,Igbo-Etiti/Uzo-Uwani
GOMBE,15,GO,1,Akko,15/01/,Gombe central,Akko
GOMBE,15,GO,2,Balanga,15/02/,Gombe South,Balanga/Billiri
GOMBE,15,GO,3,Billiri,15/03/,Gombe South,Balanga/Billiri
GOMBE,15,GO,4,Dukku,15/04/,Gombe North,Dukku / Nafada
GOMBE,15,GO,5,Funkaye,15/05/,Gombe North,Gombe/kwami/Funakaye
GOMBE,15,GO,6,Gombe,15/06/,Gombe North,Gombe/kwami/Funakaye
GOMBE,15,GO,7,Kaltungo,15/07/,Gombe South,Kaltungo/Shongom
GOMBE,15,GO,8,Kwami,15/08/,Gombe North,Gombe/kwami/Funakaye
GOMBE,15,GO,9,Nafada,15/09/,Gombe North,Dukku / Nafada
GOMBE,15,GO,10,Shongom,15/10/,Gombe South,Kaltungo/Shongom
GOMBE,15,GO,11,Yamaltu-Deba,15/11/,Gombe central,Yamaltu-Deba
IMO,16,IM,1,Aboh-Mbaise,16/01/,Imo East,Aboh Mbaise/Ngor Okpala
IMO,16,IM,2,Ahiazu Mbaise,16/02/,Imo East,Ahiazu Mbaise/Ezinihitte
IMO,16,IM,3,Ehime Mbano,16/03/,Imo North,Ehimembano/Ihitte Uboma/Obowo
IMO,16,IM,4,Ezinihitte,16/04/,Imo East,Ahiazu Mbaise/Ezinihitte
IMO,16,IM,5,Ideato North,16/05/,Imo West,Ideato North /South
IMO,16,IM,6,Ideato South,16/06/,Imo West,Ideato North /South
