STATE NAME,STATE CODE,LGA NAME,LGA CODE,WARD NAME,WARD CODE
ADAMAWA,AD,SHELLENG,17,BODWAI,02
ADAMAWA,AD,SHELLENG,17,GUNDO,03
ADAMAWA,AD,SHELLENG,17,GWAPOPOLOK,04
ADAMAWA,AD,SHELLENG,17,JUMBUL,05
ADAMAWA,AD,SHELLENG,17,KETEMBERE,06
ADAMAWA,AD,SHELLENG,17,KIRI,07
ADAMAWA,AD,SHELLENG,17,LIBBO,08
ADAMAWA,AD,SHELLENG,17,SHELLENG,09
ADAMAWA,AD,SHELLENG,17,TALLUM,10
ADAMAWA,AD,SONG,18,DIRMA,01
ADAMAWA,AD,SONG,18,DUMNE,02
ADAMAWA,AD,SONG,18,GUDU MBOI,03
ADAMAWA,AD,SONG,18,KILANGE FUNA,04
ADAMAWA,AD,SONG,18,KILANGE HIRNA,05
ADAMAWA,AD,SONG,18,SIGIRE,06
ADAMAWA,AD,SONG,18,SUKTU,07
ADAMAWA,AD,SONG,18,SONG GARI,08
ADAMAWA,AD,SONG,18,SONG WAJE,09
ADAMAWA,AD,SONG,18,WALTANDI,10
ADAMAWA,AD,SONG,18,ZUMO,11
ADAMAWA,AD,TOUNGO,19,DAWO I,01
ADAMAWA,AD,TOUNGO,19,DAWO II,02
ADAMAWA,AD,TOUNGO,19,GUMTI,03
ADAMAWA,AD,TOUNGO,19,KIRI I,04
ADAMAWA,AD,TOUNGO,19,KIRI II,05
ADAMAWA,AD,TOUNGO,19,KONGIN BABA I,06
ADAMAWA,AD,TOUNGO,19,KONGIN BABA II,07
ADAMAWA,AD,TOUNGO,19,TOUNGO I,08
ADAMAWA,AD,TOUNGO,19,TOUNGO II,09
ADAMAWA,AD,TOUNGO,19,TOUNGO III,10
ADAMAWA,AD,YOLA NORTH,20,ALKALAWA,01
ADAMAWA,AD,YOLA NORTH,20,AJIYA,02
ADAMAWA,AD,YOLA NORTH,20,DOUBELI,03
ADAMAWA,AD,YOLA NORTH,20,GWADABAWA,04
ADAMAWA,AD,YOLA NORTH,20,JAMBUTU,05
ADAMAWA,AD,YOLA NORTH,20,KARENA,06
ADAMAWA,AD,YOLA NORTH,20,LIMAWA,07
ADAMAWA,AD,YOLA NORTH,20,LUGGERE,08
ADAMAWA,AD,YOLA NORTH,20,NASSARAWO,09
ADAMAWA,AD,YOLA NORTH,20,RUMDE,10
ADAMAWA,AD,YOLA NORTH,20,YELWA,11
ADAMAWA,AD,YOLA SOUTH,21,ADARAWO,01
ADAMAWA,AD,YOLA SOUTH,21,BAKO,02
ADAMAWA,AD,YOLA SOUTH,21,BOLE YOLDE PATE,03
ADAMAWA,AD,YOLA SOUTH,21,NAMTARI,04
ADAMAWA,AD,YOLA SOUTH,21,NGURORE,05
ADAMAWA,AD,YOLA SOUTH,21,MAKAMA 'A',06
ADAMAWA,AD,YOLA SOUTH,21,MAKAMA 'B',07
ADAMAWA,AD,YOLA SOUTH,21,MBAMBA,08
ADAMAWA,AD,YOLA SOUTH,21,MBAMOI,09
ADAMAWA,AD,YOLA SOUTH,21,TOUNGO,10
ADAMAWA,AD,YOLA SOUTH,21,YOLDE KOHI,11
AKWA IBOM,AK,ABAK,01,ABAK URBAN I,01
AKWA IBOM,AK,ABAK,01,ABAK URBAN II,02
AKWA IBOM,AK,ABAK,01,ABAK URBAN III,03
AKWA IBOM,AK,ABAK,01,ABAK URBAN IV,04
AKWA IBOM,AK,ABAK,01,AFAHA OBONG I,05
AKWA IBOM,AK,ABAK,01,AFAHA OBONG II,06
AKWA IBOM,AK,ABAK,01,MIDIM I,07
AKWA IBOM,AK,ABAK,01,MIDIM II,08
AKWA IBOM,AK,ABAK,01,OTORO I,09
AKWA IBOM,AK,ABAK,01,OTORO II,10
AKWA IBOM,AK,ABAK,01,OTORO III,11
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO I,01
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO II,02
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO III,03
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO IV,04
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO V,05
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO VI,06
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO VII,07
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO VIII,08
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO IX,09
AKWA IBOM,AK,EASTERN OBOLO,02,EASTERN OBOLO X,10
AKWA IBOM,AK,EKET,03,URBAN I,01
AKWA IBOM,AK,EKET,03,URBAN II,02
AKWA IBOM,AK,EKET,03,URBAN III,03
AKWA IBOM,AK,EKET,03,URBAN IV,04
AKWA IBOM,AK,EKET,03,CENTRAL I,05
AKWA IBOM,AK,EKET,03,CENTRAL II,06
AKWA IBOM,AK,EKET,03,CENTRAL III,07
AKWA IBOM,AK,EKET,03,CENTRAL IV,08
AKWA IBOM,AK,EKET,03,CENTRAL V,09
AKWA IBOM,AK,EKET,03,OKON I,10
AKWA IBOM,AK,EKET,03,OKON II,11
AKWA IBOM,AK,ESIT EKET (UQUO),04,EKPENE OBO,01
AKWA IBOM,AK,ESIT EKET (UQUO),04,EDOR,02
AKWA IBOM,AK,ESIT EKET (UQUO),04,EBE EKPI,03
AKWA IBOM,AK,ESIT EKET (UQUO),04,IKPA,04
AKWA IBOM,AK,ESIT EKET (UQUO),04,UQUO,05
AKWA IBOM,AK,ESIT EKET (UQUO),04,EBIGHI OKPONO,06
AKWA IBOM,AK,ESIT EKET (UQUO),04,ETEBI IDUNG ASSAN,07
AKWA IBOM,AK,ESIT EKET (UQUO),04,ETEBI AKWATA,08
AKWA IBOM,AK,ESIT EKET (UQUO),04,AKPAUTONG,09
AKWA IBOM,AK,ESIT EKET (UQUO),04,NTAK INYANG,10
AKWA IBOM,AK,ESSIEN UDIM,05,ADIASIM,01
AKWA IBOM,AK,ESSIEN UDIM,05,AFAHA,02
AKWA IBOM,AK,ESSIEN UDIM,05,EKPEYONG I,03
AKWA IBOM,AK,ESSIEN UDIM,05,EKPEYONG II,04
