Same/Different,API Name,API Party,API Place,Contest Type,API Candidate Code,Mz Legal Name,Mz Other Names,Mz Candidate Code,Mz URL,Mz Parties Ever,Mz Aspirant Ever,Mz Politician Ever,Mz ID
Same,ANANIA MWASAMBU MWABOZA,UNITED REPUBLICAN PARTY,KISAUNI (constituency),,245FA7AF-F16D-E211-A5C8-005056870012,Anania Mwasambu Mwaboza,Anania Mwasambu Mwaboza,,http://info.mzalendo.com/person/anania-mwaboza/,"National Rainbow Coalition, United Republican Party (URP)",Aspirant MP at Kisauni (Constituency 2013-),,243
Same (post vying for missing),JOHN OLAGO ALUOCH,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,KISUMU WEST (constituency),,5266141B-0269-E211-9497-005056870012,John Olago Aluoch,John Olago Aluoch,,http://info.mzalendo.com/person/john-aluoch/,Orange Democratic Movement,,Member of Parliament at Kisumu Town West (Constituency 2007-2013),5
Same (post vying for missing),CHARLES MUTISYA NYAMAI,WIPER DEMOCRATIC MOVEMENT- KENYA,KITUI RURAL (constituency),,E2344583-866C-E211-A5C8-005056870012,Charles Mutisya Nyamai,Charles Mutisya Nyamai,,http://info.mzalendo.com/person/charles-nyamai/,National Rainbow Coalition,,Member of Parliament at Kitui West (Constituency 2007-2013),115
Same (Post vying for not listed),JIMMY NURU ONDIEKI ANGWENYI,THE NATIONAL ALLIANCE,KITUTU CHACHE NORTH (constituency),,0C0D0FED-9E67-E211-8158-00505687000D,Jimmy Nuru Ondieki Angwenyi,Jimmy Angwenyi,,http://info.mzalendo.com/person/jimmy-angwenyi/,Ford People,,,326
Same,RICHARD MOMOIMA ONYONKA,ORANGE DEMOCRATIC MOVEMENT,KITUTU CHACHE SOUTH (constituency),,A42C2E05-556C-E211-A5C8-005056870012,Richard Momoima Onyonka,Richard Momoima Onyonka,,http://info.mzalendo.com/person/richard-onyonka/,People's Democratic Party (PDP),Aspirant MP at Kitutu Chache South (Constituency 2013-),Member of Parliament at Kitutu Chache (Constituency 2007-2013),128
Same (post vying for missing),MOSES KIPKEMBOI CHEBOI,KENYA AFRICAN NATIONAL UNION,KURESOI NORTH (constituency),,674A24AF-DB66-E211-A3B9-00505687000D,Moses Kipkemboi Cheboi,Moses Kipkemboi Cheboi,,http://info.mzalendo.com/person/moses-cheboi/,Kenya African National Union,,,329
Same (post vying for missing),ZAKAYO KIPKEMOI CHERUIYOT,UNITED REPUBLICAN PARTY,KURESOI SOUTH (constituency),,5AF4D733-3669-E211-9497-005056870012,Zakayo Kipkemoi Cheruiyot,Zakayo Kipkemoi Cheruiyot,,http://info.mzalendo.com/person/zakayo-cheruiyot/,Orange Democratic Movement,,Member of Parliament at Kuresoi (Constituency 2007-2013),14
Same,ABRAHAM KORIR  SING'OEI,UNITED REPUBLICAN PARTY,KWANZA (constituency),,AAC45239-3569-E211-9497-005056870012,Abraham Korir SingÃÂ¢ÃÂÃÂoei,,,http://info.mzalendo.com/person/abraham-korir-singoei/,,Aspirant MP at Kwanza (Constituency 2013-),,459
Different,HUSSEIN  ALI MOHAMED,THE NATIONAL ALLIANCE,LAFEY (constituency),,C7AB7856-9F67-E211-8158-00505687000D,Hussein Maalim Mohamed,,,http://info.mzalendo.com/person/hussein-mohamed/,Kenya African National Union,,,394
Different,JOHN MWANGI KARIUKI,UNITED REPUBLICAN PARTY,LAIKIPIA EAST (constituency),,2D02607B-736B-E211-A5C8-005056870012,John Ngata Kariuki,,,http://info.mzalendo.com/person/john-kariuki/,Ford Asili,,,37
Same,JOSEPH LEKUTON,ORANGE DEMOCRATIC MOVEMENT,LAISAMIS (constituency),,7EA61CBD-486C-E211-A5C8-005056870012,Joseph Lemasolai Lekuton,,,http://info.mzalendo.com/person/joseph-lekuton/,Kenya African National Union,Aspirant MP at Laisamis (Constituency 2013-),Member of Parliament at Laisamis (Constituency 2007-2013),66
Same (post vying for missing),BETTY NJERI TETT,FARMERS PARTY,LAMU WEST (constituency),,A533A82E-DA66-E211-A3B9-00505687000D,Betty Njeri Tett,Betty Njeri Tett,,http://info.mzalendo.com/person/betty-tett/,National Rainbow Coalition,,,364
Same,DAVID NJUGUNA MWAURA,PEOPLES PARTY OF KENYA,LARI (constituency),,6F923704-7B69-E211-B91E-005056870012,David Njuguna Kiburi Mwaura,,,http://info.mzalendo.com/person/david-mwaura/,Peoples Party of Kenya,,Member of Parliament at Lari (Constituency 2007-2013),106
Same,MWALIMU MASUDI MWAHIMA,ORANGE DEMOCRATIC MOVEMENT,LIKONI (constituency),,78A61CBD-486C-E211-A5C8-005056870012,Mwalimu Masoud Mwahima,,,http://info.mzalendo.com/person/mwalimu-mwahima/,Orange Democratic Movement,Aspirant MP at Likoni (Constituency 2013-),Member of Parliament at Likoni (Constituency 2007-2013),99
Same,ENOCH WAMALWA KIBUNGUCHY,ORANGE DEMOCRATIC MOVEMENT,LIKUYANI (constituency),,7EBE86C2-A96B-E211-A5C8-005056870012,Enoch Wamalwa Kibunguchy,Enoch Wamalwa Kibunguchy,,http://info.mzalendo.com/person/enoch-kibunguchy/,National Rainbow Coalition,Aspirant MP at Likuyani (Constituency 2013-),,294
Same,PETER MUNGAI MWATHI,DEMOCRATIC PARTY OF KENYA,LIMURU (constituency),,B260075C-C866-E211-A3B9-00505687000D,Peter Mungai Mwathi,Peter Mungai Mwathi,,http://info.mzalendo.com/person/peter-mwathi/,"Democratic Party, Forum for Restoration and Democracy- People",Aspirant MP at Limuru (Constituency 2013-),Member of Parliament at Limuru (Constituency 2007-2013),104
Same (post vying for missing),ABDALLAH JUMAA NGOZI,KENYA NATIONAL CONGRESS,LUNGALUNGA (constituency),,9546B4E1-8569-E211-B91E-005056870012,Abdallah Jumaa Ngozi,Abdallah Jumaa Ngozi,,http://info.mzalendo.com/person/abdallah-ngozi/,National Rainbow Coalition,,,245
Same (switched parties?),ATANAS MANYALA KEYA,NEW FORD KENYA,LURAMBI (constituency),,255CCAEE-956B-E211-A5C8-005056870012,Atanas Manyala Keya,Atanas Manyala Keya,,http://info.mzalendo.com/person/atanas-manyala/,Orange Democratic Movement,,Member of Parliament at Lurambi (Constituency 2007-2013),40
Same (switched parties?),VICTOR KIOKO MUNYAKA,CHAMA CHA UZALENDO,MACHAKOS TOWN (constituency),,3878E31F-B567-E211-8158-00505687000D,Victor Kioko Munyaka,Victor Kioko Munyaka,,http://info.mzalendo.com/person/victor-munyaka/,Orange Democratic Movement Party Of Kenya,,Member of Parliament at Machakos Town (Constituency 2007-2013),86
Same (post vying for missing),HARRISON GARAMA KOMBE,UNITED REPUBLICAN PARTY,MAGARINI (constituency),,0EB2590E-4E6C-E211-A5C8-005056870012,Harrison Garama Kombe,Harrison Garama Kombe,,http://info.mzalendo.com/person/harrison-kombe/,Shirikisho Party Of Kenya,,,250
Same (post vying for missing),PETER L. N. KIILU,NATIONAL RAINBOW COALITION,MAKUENI (constituency),,D6F24FA8-A26B-E211-A5C8-005056870012,Peter L. N. Kiilu,Peter L. N. Kiilu,,http://info.mzalendo.com/person/peter-kiilu/,Orange Democratic Movement Party Of Kenya,,Member of Parliament at Makueni (Constituency 2007-2013),45
Same,EMILIO MUREITHI KATHURI,ALLIANCE PARTY OF KENYA,MANYATTA (constituency),,F200B5AE-C466-E211-A3B9-00505687000D,Emilio Mureithi Kathuri,Emilio Mureithi Kathuri,,http://info.mzalendo.com/person/emilio-kathuri/,"Alliance Party of Kenya (APK), Democratic Party",Aspirant MP at Manyatta (Constituency 2013-),Member of Parliament at Manyatta (Constituency 2007-2013),38
Same,LINAH JEBII KILIMO,THE NATIONAL ALLIANCE,MARAKWET EAST (constituency),,E576FE0D-9C67-E211-8158-00505687000D,Linah Jebii Kilimo,Linah Jebii Kilimo,,http://info.mzalendo.com/person/linah-kilimo/,"Kenya National Democratic Alliance, The National Alliance (TNA)",Aspirant MP at Marakwet East (Constituency 2013-),Member of Parliament at Marakwet East (Constituency 2007-2013),173
Same (post vying for missing),DAVID KIPRONO SUTTER SUDI,NEW DEMOCRATS,MARAKWET WEST (constituency),,BC238040-DE6D-E211-A5C8-005056870012,David Kiprono Sutter Sudi,David Kiprono Sutter Sudi,,http://info.mzalendo.com/person/david-sudi/,Kenya African National Union,,,331
Same,BENSON ITWIKU MBAI,FORD-PEOPLE,MASINGA (constituency),,C662D082-F366-E211-A3B9-00505687000D,Benson Itwiku Mbai,Benson Itwiku Mbai,,http://info.mzalendo.com/person/benson-mbai/,"Ford People, Orange Democratic Movement Party Of Kenya",Aspirant MP at Masinga  (Constituency 2013-),Member of Parliament at Masinga (Constituency 2007-2013),181
Same,CLEMENT MUCHIRI WAMBUGU,THE NATIONAL ALLIANCE,MATHIOYA (constituency),,B27D3677-9F67-E211-8158-00505687000D,Clement Muchiri Wambugu,Clement Muchiri Wambugu,,http://info.mzalendo.com/person/clement-wambugu/,"Party of National Unity, The National Alliance (TNA)",Aspirant MP at Mathioya (Constituency 2013-),Member of Parliament at Mathioya (Constituency 2007-2013),149
Same (post vying for missing),DAVID AOKO WERE,NEW FORD KENYA,MATUNGU (constituency),,FF8609F5-736C-E211-A5C8-005056870012,David Aoko Were,David Aoko Were,,http://info.mzalendo.com/person/david-were/,Orange Democratic Movement,,Member of Parliament at Matungu (Constituency 2007-2013),153
Same (post vying for missing),MOFFAT MUIA MAITHA,NATIONAL RAINBOW COALITION,MATUNGULU (constituency),,4BFC947D-0767-E211-A3B9-00505687000D,Moffat Muia Maitha,Moffat Muia Maitha,,http://info.mzalendo.com/person/moffat-maitha/,Sisi Kwa Sisi,,Representative at None,370
Same (post vying for missing),JUSTIN BEDAN NJOKA MUTURI,THE NATIONAL ALLIANCE,MBEERE NORTH (constituency),,1F38EDD7-9B67-E211-8158-00505687000D,Justin Bedan Njoka Muturi,Justin Bedan Njoka Muturi,,http://info.mzalendo.com/person/justin-muturi/,Kenya African National Union,,,215
