current_name,lga_areas
BATAGARA/CHARANGI/RIMI,Batagarawa,Charanchi,Rimi
Mushin II Federal Constituency,Mushin
Kano Municipal,473 Kano
Enugu_East / Isi-Uzo,344 Enugu East,Isi-Uzo
Obio-Akpor,Obio/Akp
Toro,Toro
Anka/Talata Mafara,Anka,Talata-Mafara
Bichi,Bichi
Isoko North/Isoko South,IsokoNor,IsokoSou
Ohaozara/Onicha/Ivo,Ohaozara,Onicha,Ivo
Gamawa,Gamawa
Mafa/Dikwa/Konduga,Mafa,Dikwa,Konduga
Ife Federal Constituency,IfeCentral
Jalingo / Yorro / Zing,Jalingo,Yorro,Zing
Funtua/Dandume Constituency,Funtua,Dandume
Ilorin West/Asa,IlorinWe,Asa
Onuimo/Okigwe/Isiala Mbano,Unuimo,Okigwe,IsialaMb
Khana / Gokana,Khana,Gokana
ADO EKITI/IREPODUN-IFELODUN,Ado-Ekiti,Irepodun/Ifelodun
Kaga / Gubio / Magumeri,Kaga,Gubio,Magumeri
Wudil/Garko,Wudil,Garko
Ankpa-Omala-Olamaboro,Ankpa,Omala,Olamabor
Zaki,Zaki
AWE/DOMA/KEANA,Awe,Doma,Keana
Giwa/Birnin-Gwari,Giwa,Birnin-Magaji/Kiyaw
Marte & Monhuno & Nganzai,Marte,Monguno,Nganzai
ALKALERI/KIRFI,Alkaleri,Kirfi
Chanchaga,Chanchaga
Baruten/Kalama,Baruten,Kaiama
LagosIsland II Federal Constituency,LagosIsland
Oshodi-Isolo I Federal Constituency,Oshodi/Isolo
Idanre / Ifedore,Idanre,Ifedore
Gummi/Bukkuyum,Gummi,Bukkuyum
Afijio/Atiba East/Oyo West,Afijio,Atiba,Oyo West
Gwale,Gwale
Kura/Madobi/Garum Mallam,Kura,Madobi,Garum Mallam
Ogbomosho North & South/Orire,Ogbomosho North,Ogbomosho South,Ori-Ire
Kumbotso,Kumbotso
Ibarapa Central/North,Ibarapa Central,Ibarapa North
Akinyele/Lagelu,Akinyele,Lagelu
Nasarawa / Toto,Nasarawa,Toto
Goronyo/Gada,Goronyo,Gada
Gezawa/Gabasawa,Gezawa,Gabasawa
Dawakin-Kudu/Warawa,DawakinK,Warawa
Jahun/Miga,Jahun,Miga
Bomadi/Patani,Bomadi,Patani
BINJI/SILAME,Binji,Silame
Ogbia,Ogbia
Tarauni,Tarauni
Gwarzo/kabo Federal Constituency,Gwarzo,Kabo
ZANGO/BAURE,Zango,Baure
Nassarawa,Nassaraw
Oriade / Obokon,Oriade,Obokun
Aniocha North/Aniocha South/Oshimili North/Oshimili South,AniochaN,AniochaS,Oshimili North,Oshimili South
Isuikwua/Umunneochi,Isuikwua,Umu-Nneochi
CALABAR/UDOKPANI,Calabar,Odukpani
Bende,Bende
Ovia Federal Constituency,OviaNort,OviaSouth-West
NINGI/WARJI,Ningi,Warji
Ikan North-East,IkaNorth
EPE,Epe
Enugu North/Enugu South,345 Enugu North,EnuguSou
Udu/Ughelli North/South,Udu,Ughelli North,Ughelli South
Etche / Omuma,Etche,Omumma
Ezeagu/Udi,Ezeagu,Udi
Ifako Ijaye,Ifako/Ijaye
Okpe/ Sapele/ Uvwie,Okpe,Sapele,Uvwie
IKwo / Ezza South,Ikwo,Ezza South
Iseyin/ Itesiwasu / Kajola / Iwajowa,Iseyin,Itesiwaju,Kajola,Iwajowa
LagosIsland I Federal Constituency,LagosIsland
Egbeda/ Ona-Ara,Egbeda,Ona-Ara
Amuwo Odofin Federal Constituency,Amuwo Odofin
Abeokuta North / Obafemi Owode & Odeda Fed. Const.,AbeokutaNorth,Obafemi-Owode,Odeda
Ogo Oluwa / Surulere,Ogo-Oluw,Surulere
Afikpo North/Afikpo South,AfikpoSo,Afikpo
Owo/Ose,Owo,Ose
Ndokwa East/Ndokwa,Ndokwa East
IJERO/EFON/EKITI WEST,Ijero,Efon,EkitiWest
Owan East / West,Owan East,OwanWest
Esan Central,EsanWest,Igueben,EsanCent,EsanWest,Igueben
Nkanu East/Nkanu West,Nkanu East,Nkanu West
Ezza North/Ishelu,Ezza North,Ishielu
Damibo'a / Chibok/ Gwoza,Damboa,Chibok,Gwoza
Ebonyi/Ohaukwu,298 Ebonyi,Ohaukwu
Akoko-Edo,Akoko-Ed
Badagry,Badagary
Felodun/Offa/Oyun,Ifelodun,Offa,Oyun
Ilaje / Ese Odo,IlajeEseodo
AHIAZU-MBAISE/EZINITTE,Ahizu-Mb,Ezinihit
Oredo,Oredo Edo
Oron/Mbo/Okobo/Urefong/udung-Uko,Oron,Mbo,Okobo,Udung Uko
EKITI II,Oguta
OGOJA/YALA,Ogoja,Yala Cross
Birnin-Kudu/Buji,BirninKu,Buji
Ajaokuta,Ajaokuta
Ringim/Taura,Ringim,Taura
Bosso/Paikoro,Bosso,Paikoro
Daura/Maiduwa/Sadamu Constituency,Daura,Mai'Adua,Sandamu
Kaita/Jibiya Constituency,Kaita,Jibia
Oju / Obi,Oju,Obi
Orhionmwon/Uhunmwode,Orhionmw,Uhunmwonde
AGEGE,Agege
Abeokuta South,Abeokuta South
DUTSIN-MA/KURFI,Dutsin-M,Kurfi
Mashi/Dutsi Constituency,Mashi,Dutsi
Rano/Bunkure/Kibiya Constituency,Rano,Bunkure,Kibiya
Bungudu/Maru,Bungudu,Maru
Ikot Ekpene,Essien-U,Obot Akara,Ikot-Ekp,Essien-U,Obot Akara
Jema'a /Sanga,Jema'a,Sanga
Katsina Federal Constituency,Katsina (K)
Yamaltu-Deba,Yamaltu
Isa/S.Birni,Isa,Sabon Birni
Barakin-Ladi/Riyom,Barkin Ladi,Riyom
Kauru,Kauru
Degema/Bonny,Degema,Bonny
Alimosho,Alimosho
Sagbama/Ekeremor,Sagbama,Ekeremor
Igbo Etiti,Igbo-Eti
OJO,Ojo
Jos North/Bassa Federal Constituency,Jos North,Atiba
Sumaila/Takai,Sumaila,Takai
Yagba East/West,Yagba East,Yagba West
Abakaliki/Izzi,Abakalik,Izzi
AJEROMI/IFELODUN,Ajeromi/Ifelodun,Ifelodun
Dawakin-Tofa/Tofa/Rimin Gado,DawakinT,Tofa,RiminGad
DUTSE/KIYAWA,Dutse,Kiyawa
Madagali / Michika,Madagali,Michika
Aninri / Agwu / Oji-River,Aninri,Awgu,Oji-River
Bassa / Dekina,Atiba,Dekina
Bakoro/Danja,Bakori,Danja
Anocha/Njikoka/Dunukofia,Anaocha,Njikoka,Dunukofia
Umahia North/South/Ikwuaro,Umuahia North,Umuahia South,Ikwuano
Igboeze North/Udenu,Igbo-eze North,Udenu
Darazo/Ganjuwa,Darazo,Gamjuwa
Dukku/Nafada,Dukku,Nafada
Lokoja,Lokoja
Aliero,Gwandu,Jega,Aleiro,Gwandu,Jega
Sokoto North/South,753 Sokoto North,754 Sokoto South
Albasu/Gaya/Ajingi,Albasu,Gaya,Ajingi
AKKO,Akko
Aba North / Aba South,Aba North,Aba South
Ukwa East/West,Ukwa East,Ukwa West
Ogbaru,Ogbaru
BABURA/GARKI,Babura,Garki
Yenagoa/K/Opokuma,Yenegoa,Gwiwa,Kolokuma/Opokuma
Kebbe/Tambuwal Federal Constituency,Kebbe,Tambawal
Kosofe Federal Constituency,Kosofe
LAGOS ISLAND II,LagosIsland
Bogoro/Dass/Tafawa-B,Bogoro,Dass,Tafawa-B
Kajuru/Chikum,Kajuru,Shagamu
Irepodun / Olorunda / Orolu / Osogbo,Irepodun,Olorunda,Orolu,Osogbo
Ikara/KuKubau,Ikara,Kubau
Gwaram,Gwaram
Balanga/Biliri,Balanga,Billiri
MalamMad/Kaugama,MalamMad,Kaugama
Agwara / Borgu,Agwara,Borgu
ABUJA MUNICIPAL/BWARI,AbujaMun,Bwari
Mushin I Federal Constituency,Mushin
Kankara/Faskari/Sabuwa Constituency,Kankara,Faskari,Sabuwa
Zaria,Zaria
Agale / Lapai,Ikole,Lapai
IJEBU - LEKKI,Ibeju/Lekki
Askira /Uba / Hawul,Askira/U,Hawul
Kontagora/Wushishi/Mariga/Mashegu,Kontogur,Wushishi,Mariga,Mashegu
Zuru/Fakai/Sakaba/Danko-Wasagu,Zuru,Fakai,Sakaba,Danko Wasagu
KWARE/WAMMAKO,Kware,Wamakko
MUNYA/RAFI/SHIRORO,Muya,Rafi,Shiroro
ILLELA/GWADABAWA,Illela,Gwadabaw
Bida Gbaka Paicho,Bida,Gbako,Paikoro
Kiru/Bebeji,Kiru,Bebeji
ADAVI/OKEHI,Adavi,Okehi
Tsanyawa/Kunchi,Tsanyawa,Kunchi
Bama / Ngala,Bama,Ngala
Ikorodu,Ikorodu
Ekiti North,61 Ekiti
Ogun Waterside/Ijebu North /East,OgunWaterside,IjebuNorth,IjebuEast
Ibadan Southwest/ Northwest,IbadanSouth-West,IbadanNorth-West
Ibadan N.East / South East,IbadanNorth-East,IbadanSouth-East
Ekiti South West/IKERE/ISE -ORUN,EkitiSouth-West,Ikere,Ise/Orun
Etsako,EtsakoEa
Mubi North / Mubi South / Maiha,Mubi North,Mubi South,Maiha
Misau/ Dambam,Misau,Damban
BIRNIWA/GURI/KIRIKASAMMA,Biriniwa,Guri,KiriKasa
Shira/Giade,Shira,Giade
APA/AGATU,Apa,Agatu
Ifo / Ewekoro,Ifo,Ewekoro
Ile - Oluji/Okeigbo & Odigbo,IleOluji/Okeigbo,Odigbo
Ibarapa East / Ido,Ibarapa East,Ido
Egbado North/Imeko Afon,EgbadoNorth,Imeko-Afon
Osun Central II (Odo-Otin / Ifelodun / Boripe,EsanCent,Odo0tin,Ifelodun,Boripe
Irepo/Orelope/Olorunsogo,Irepo,Orelope,Olorunsogo
Karaye/Rogo,Karaye,Rogo
Kankia/Kusada/ Ingawa Federal Constituency,Kankiya,Kusada,Ingawa
Mayo Belwa/Jada/Ganye/Toongo,Mayo-Bel,Jada,Ganye,Teungo
Wase,Wase
Gurara/Suleja/Tafa,Gurara,Suleja,Tafa
OKENE/OGORI-MAGONGO,Okene,Ogori/Magongo
Yola North/Yola South & Girei,Yola North,Yola South,Girie
Isin/Irepodun/Ekiti & Oke-Ero,Isin,Irepodun,61 Ekiti,Oke-Ero
Eden North,Ede North
Ibadan North,IbadanNorth
Egbado South/Ipokia,EgbadoSouth,Ipokia
ONDO EAST/WEST,Ondo East,Ondo West
Ayedire / Iwo / Ola-Oluwa,Ayedire,Iwo,Ola-Oluwa
Okitipupa/Irele,Okitipupa,Irele
Ikot Abasi,Mkpat Enin,Eastern O bolo,Ikot-Aba,Mkpat Enin,Eastern O bolo
Donga/Ussa/Takum/Special Area,Donga,Ussa,Takum
Tudun-Wada/Doguwa,Tundun Wada,Doguwa
Ilorin East/Ilorin South,Ilorin East,Ilorin South
Nangere/Potiskum,Nangere,Potiskum
Dange-Shuni/Bodinga/Tureta,Dange-Shuni,Bodinga,Tureta
Edu/Moro/Patigi,Edu,Moro,Pategi
Biu / Bayo / Kwaya-Kusar / Shani,Biu,Bayo,Kwaya Kusar,Shani
Bauchi,175 Bauchi
Dala,Dala
Surulere Fed. Const. II,Surulere
Maiyama/koko - Besse,Maiyama,Koko/Bes
MANGU/BOKKOS,Mangu,Bokkos
Yabo/Shagari,Yabo,Shagari
Fagge,Fagge
Ikwerre/Emohua,Ikwerre,Emuoha
Demsa/Numan/Lamurde,Demsa,Numan,Lamurde
Arochukwu/Ohafia,Arochukw,Ohafia Abia
Nsukka/Igboeze,Nsukka,Igbo-eze South
Ogba/Egbema/Ndoni/Ahoada West,Ogba/Egbe,Andoni/O,Ahoada West
MAGAMA/RIJAU,Magama,Rijau
Katagum,Katagum
OTUKPO/OHIMINI,Oturkpo,Ohimini
Ayedaade / Irewole / Isokan,Ayedaade,Irewole,Isokan
KABBA-BUNU/IJIMU,Kabba/Bu,Ijumu
Somolu,Shomolu
Aguata,Aguata
Machina/Nguru/Karasuwa/Yusufari,Machina,Nguru,Karasuwa,Yusufari
Ungogo/Minjibir,Ungogo,Minjibir
AdoOdo/Ota / Otta,AdoOdo/Ota
Dabbatta/Makoda,Dambatta,Makoda
EMURE/GBONYIN/EKITI EAST,Emure/Ise/Orun,Gboyin,EkitiEas
Eleme / Oyigbo / Tai,Eleme,Oyigbo,Tai
Kazaure/Roni Gwiwa,Kazaure,Roni,Gwiwa
Eket/Onna/Esit Eket/Ibeno,Eket,Onna,Esit Eket,Ibeno
Kaduna North,438 Kaduna North
Bagudo / Suru,Bagudo,Suru
Bakura/Maradun,Bakura,Maradun
Orumba South,OrumbaSo
Langtang North/Langtang South,Langtang North,Langtang South
Kwande/Ushongo,Kwande,Ushongo
Mbaitoli/Ikeduru,Mbaitoli,Ikeduru
Ahoada East/Abua/Odual,Ahoada East,Abua/Odu
ZurmiI/Shinkafi,Zurmi,Shinkafi
KALTUNGO/SHONGOM,Kaltungo,Shomgom
Jos South/Jos East,Jos South,Jos East
Port Harcourt Fed. Const.2,Port Harcourt
Okrika / Ogu / Bolo,Okrika,Ogu/Bolo
Sagamu/Ikenne / Remo North,Shagamu,Ikenne,Remo-North
Kaduna South,439 Kaduna South
Idemili North/Idemili South,Idemili North,Idemili South
Isala Ngwa North/south,Isiala Ngwa North,Isiala Ngwa South
Ayamelum / Oyi,Ayamelum,Oyi
NnewiNort / South & Ekwusigo,NnewiNort,NnewiSou,Ekwusigo
Anambra East/West,Anambra East,Anambra West
Gwer East/Gwer West,Gwer East,GwerWest
Boki/Ikom,Boki,Ikom
Ehime-Mb/Ihitte/U/OBONO,Ehime-Mb,Ihitte/U,Obowo
NKWERRE/NWANGELE/ISU/NJABA,Nkwerre,Nwangele,Isu,Njaba
Awka North & South,AwkaNort,IkaSouth
Aboh Mbaise/Ngor Okpala Federal Consistuency,Aboh-Mba,Ngor-Okp
Onitsha North/South Federal,Onitsha North,Onitsha South
Opobo / Nkoro,Opobo/Nkoro
KAURA - NAMODA/BIRNIN MAGAJI,Kaura-Na,Birnin-Magaji/Kiyaw
Etinan,Etinan
AKAMKPA/BIASE,Akamkpa,Biase
Warri North/Warri South/Warri West,Warri North,Warri South,Warri South-West
MUSAWA/MATAZU,Musawa,Matazu
AKWANGA/WAMBA/NASARAWA EGGON,Akwanga,Wamba,Nassarawa Egon
Akuku - Toru/Asari - Toru,Akukutor,Asari-To
Akoko South East/South Wes,Akoko South-East,Akoko South-West
IDEATO NORTH/SOUTH,IdeatoNo,Ideato South
Ethiope,EthiopeE
Abak/Etim Ekpo & Ika,Abak,EtimEkpo,Ika
Uyo,Uyo
Ukanafun/Orukaanam,Ukanafun,Oruk-Ana
MAKURDI/GUMA,Makurdi,Guma
PANKSHIN/KANKE/KANAM,Pankshin,Kanke,Kanam
Buruku,Buruku
Katsina-Ala Ukum Logo,Katsina (Benue)
Burutu,Burutu
Calabar South/Akpabuyo/Bakassi,Calabar South,Akpabuyo,Bakassi
Yakurr/Abi,Yakurr,Abi
OWERRI MINICIPAL/NORTH/WEST,Owerri Municipal,Owerri North,Owerri West
Obingwa/osisioma/Ugwumagbo,Osisioma Ngwa,Ugwunagbo
IKEJA,Ikeja
Atakumosa / East/ West & Ilesa East /West,Atakumosa East,Atakumosa West,Ilesha East,Ilesha West
Bagwai/Shanono,Bagwai,Shanono
Surulere I Federal Constituency,Surulere
Brass / Nembe,Brass,Nembe
Ihiala,Ihiala
Obanliku/OBUDU/BEKWARRA,Obanliku,Obudu,Bekwarra
Esan North East/South West,EsanNort,EsanSout
SAFANA/DAN-MUSA/BATSARI,Safana,Danmusa,Batsari
Akoko North East/North-West,Akoko North-East,AkokoNorthWest
Sabon Gari,Sabon-Ga
Argungu/Augie,Argungu,Augie
Guyuk/Shelleng,Guyuk,Shelleng
Jaba/Zangon Kafat,Jaba,ZangonKa
Bursari/Geidam/Yunusari,Borsari,Geidam,Yunusari
Kaura,Kaura
Oshodi / Isolo Fed. Const II,Oshodi/Isolo
Yauri/Shanga/Ngaski,Yauri,Shanga,Ngaski
