Surname,First names,Title,List,Party,Organisation,Place,Position Title,Start Date,End Date
DLAMINI-DUBAZANA,ZEPHROMA SIZANI, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
DLODLO,AYANDA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
DLOMO,BONGEKILE JABULILE, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
DLULANE,BEAUTY NOMVUZO, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
DREYER,ANCHEN MARGARETHA, Mrs,National,DA,National Assembly,,Member,2014-05-21,future
DUDLEY,CHERYLLYN, Mrs,National,ACDP,National Assembly,,Member,2014-05-21,future
DUNJWA,MARY-ANN LINDELWA, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
EBRAHIM,EBRAHIM ISMAIL, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
ESAU,SHAHID, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
ESTERHUIZEN,JAN ADRIAAN, Mr,National,IFP,National Assembly,,Member,2014-05-21,future
FAKU,ZUKISA CHERYL, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
FIGG,MALCOLM JOHN, Mr,EC,DA,National Assembly,Eastern Cape,Member,2014-05-21,future
FIGLAN,ARCHIBOLD MZUVUKILE, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
FILTANE,MNCEDISI LUTANDO WELLINGTON, Mr,EC,UDM,National Assembly,Eastern Cape,Member,2014-05-21,future
FROLICK,CEDRIC THOMAS, Mr,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
FUBBS,JOANMARIAE LOUISE, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
GALO,MANDLENKOSI PHILLIP, Mr,National,AIC,National Assembly,,Member,2014-05-21,future
GAMEDE,DENNIS DUMISANI, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
GANA,STANFORD MAKASHULE, Mr,National,DA,National Assembly,,Member,2014-05-21,future
GARDEE,GODRICH AHMED, Mr,National,EFF,National Assembly,,Member,2014-05-21,future
GCWABAZA,NDABAKAYISE ERASMUS, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
GEORGE,DION TRAVERS, Dr,National,DA,National Assembly,,Member,2014-05-21,future
GIGABA,KNOWLEDGE MALUSI NKANYEZI, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
GINA,NOMALUNGELO, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
GODI,NELSON THEMBA, Mr,National,APC,National Assembly,,Member,2014-05-21,future
GOQWANA,MONWABISI BEVAN, Dr,National,ANC,National Assembly,,Member,2014-05-21,future
GORDHAN,PRAVIN JAMNADAS, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
GQADA,TANDEKA, Mr,National,DA,National Assembly,,Member,2014-05-21,future
GREYLING,LANCE WILLIAM, Mr,National,DA,National Assembly,,Member,2014-05-21,future
GROENEWALD,PETRUS JOHANNES, Dr,National,FF Plus,National Assembly,,Member,2014-05-21,future
GROOTBOOM,GREGORY ALLEN, Mr,National,DA,National Assembly,,Member,2014-05-21,future
GUMEDE,DONALD MLINDWA, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
Hadebe,Thomas Zwelakhe,Mr,KZN,DA,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
HANEKOM,DEREK ANDRÉ, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
HILL-LEWIS,GEORDIN GWYN, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
HLENGWA,MKHULEKO, Mr,KZN,IFP,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
HOLOMISA,SANGO PATEKILE, Inkosi,National,ANC,National Assembly,,Member,2014-05-21,future
HOLOMISA,BANTUBONKE HARRINGTON, Dr,National,UDM,National Assembly,,Member,2014-05-21,future
HOOSEN,MOHAMMED HANIFF, Mr,National,DA,National Assembly,,Member,2014-05-21,future
HORN,WERNER, Mr,National,DA,National Assembly,,Member,2014-05-21,future
HUNSINGER,CHRISTIAN HANS HEINRICH, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
JAFTA,STEVEN MAHLUBANZIMA, Mr,National,AIC,National Assembly,,Member,2014-05-21,future
JAMES,WILMOT GODFREY, Dr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
JAMES,LUNGISWA VERONICA, Ms,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
JEFFERY,JOHN HAROLD, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
JOEMAT-PETTERSSON,TINA MONICA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
JOHNSON,MLUNGISI, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
JONAS,MCEBISI HUBERT, Mr,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
JONGBLOED,ZELDA, Ms,National,DA,National Assembly,,Member,2014-05-21,future
JORDAN,ZWELEDINGA PALLO, Dr,National,ANC,National Assembly,,Member,2014-05-21,future
JOSEPH,BERNARD DANIEL, Mr,WC,EFF,National Assembly,Western Cape,Member,2014-05-21,future
KALAKO,MZIWAMADODA UPPINGTON, Mr,WC,ANC,National Assembly,Western Cape,Member,2014-05-21,future
KALYAN,SANTOSH VINITA, Ms,KZN,DA,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
KEKANA,MAESELA DAVID, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
KEKANA,EZEKIEL, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
KEKANA,CHARLES DANNY, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
