Party,List,Rank,Name,Surname,Organisation,Position Title,Start Date,End Date,Place Name
AFRICAN NATIONAL CONGRESS,National,19,BALEKA,MBETE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,20,THEMBELANI WALTERMADE,NXESI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,21,MAITE EMILY,NKOANA-MASHABANE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,22,NCEDISO GOODENOUGH,KODWA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,23,BOMO EDNA EDITH,MOLEWA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,24,JOEL SIBUSISO,NDEBELE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,25,JEREMY PATRICK,CRONIN,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,26,LULAMA MARYTHERESA,XINGWANA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,27,JACKSON MPHIKWA,MTHEMBU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,28,KGWARIDI BUTI,MANAMELA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,29,NOMZAMO WINFRED,MADIKIZELA-MANDELA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,30,NOMAINDIYA CATHLEEN,MFEKETO,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,31,SIYABONGA CYPRIAN,CWELE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,32,GUGILE ERNEST,NKWINTI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,33,NGOAKO ABEL,RAMATLHODI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,34,ELIZABETH DIPUO,PETERS,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,35,PHUMELELE STONE,SIZANI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,36,LINDIWE DAPHNE,ZULU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,37,TINA MONICA,JOEMAT-PETTERSSON,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,38,MILDRED NELISIWE,OLIPHANT,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,39,MARTHINUS CHRISTOFFEL JOHANNES,VAN SCHALKWYK,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,40,YUNUS ISMAIL,CARRIM,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,41,TITO TITUS,MBOWENI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,42,SUSAN,SHABANGU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,43,ROBERT HAYDN,DAVIES,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,44,THIZWILONDI REJOYCE,MABUDAFHASI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,45,AYANDA,DLODLO,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,46,NOZABELO RUTH,BHENGU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,47,JOYCE CLEMENTINE,MOLOI-MOROPA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,48,PAMELA,TSHWETE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,49,DIKELEDI PHILLISTUS,MAGADZI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,50,HLENGIWE BUHLE,MKHIZE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,51,SAMPSON PHATHAKGE,MAKWETLA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,52,ROSEMARY NOKUZOLA,CAPA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,53,PULENG PETER,MABE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,54,BEAUTY NOMVUZO,DLULANE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,55,EBRAHIM,PATEL,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,56,THANDI VIVIAN,TOBIAS,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,57,BENEDICT ANTHONY DUKE,MARTINS,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,58,KWATI CANDITH,MASHEGO-DLAMINI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,59,SENZENI,ZOKWANA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,60,LUSIZO SHARON,MAKHUBELA-MASHELE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,61,MDUDUZI COMFORT,MANANA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,62,TOKOZILE,XASA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,63,ZWELIVELILE MANDLESIZWE DALIBHUNGA,MANDELA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,64,DIKELEDI GLADYS,MAHLANGU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,65,MATHUME JOSEPH,PHAAHLA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,66,DIPUO BERTHA,LETSATSI-DUBA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,67,MBANGISENI DAVID,MAHLOBO,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,68,ELSIE MMATHULARE,COLEMAN,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,69,MATHOLE SEROFO,MOTSHEKGA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,70,DINA DELIWE,PULE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,71,KOPENG OBED,BAPELA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,72,CORNELIA CAROL,SEPTEMBER,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,73,ZWELEDINGA PALLO,JORDAN,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,74,LUMKA ELIZABETH,YENGENI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,75,EBRAHIM ISMAIL,EBRAHIM,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,76,LYNETTE,BROWN,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,77,SOLOMON LECHESA,TSENOLI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,78,PHUMUZILE CATHERINE,NGWENYA-MABILA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,79,AMOS FISH,MAHLALELA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,80,SHEILA COLEEN NKHENSANI,SHOPE-SITHOLE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,81,CASSEL CHARLIE,MATHALE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,82,XOLISWA SANDRA,TOM,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,83,MLUNGISI,JOHNSON,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,84,GRACE KEKULU,TSEKE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,85,FIKILE ZACHARIAH,MAJOLA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,86,VATISWA,BAM-MUGWANYA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,87,GAOLATLHE GODFREY,OLIPHANT,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,88,HENDRIETTA IPELENG,BOGOPANE-ZULU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,89,MADALA BACKSON,MASUKU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,90,FATIMA ISMAIL,CHOHAN,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,91,MOSES SIPHOSEZWE AMOS,MASANGO,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,92,RAESIBE EUNICE,NYALUNGU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,93,SANGO PATEKILE,HOLOMISA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,94,NOKUKHANYA,MTHEMBU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,95,MCEBISI,SKWATSHA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,96,BONGI MARIA,NTULI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,97,ANDRIES CARL,NEL,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,98,NOMAKHAYA MAVIS,MDAKA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,99,MOHAMED ENVER,SURTY,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,100,MILLICENT NTOMBIZODWA SIBONGILE,MANANA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,101,MONWABISI BEVAN,GOQWANA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,102,NOCAWE NONCEDO,MAFU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,103,GERHARDUS CORNELIUS,OOSTHUIZEN,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,104,AZWIHANGWISI FAITH,MUTHAMBI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,105,MTIKENI PATRICK,SIBANDE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,106,CATHRINE,MATSIMBI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,107,TSHILILO MICHAEL,MASUTHA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,108,YVONNE NKWENKWEZI,PHOSA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,109,MZWANDILE COLLEN,MASINA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,110,AGNES DAPHNE NOLUTHANDO,QIKANI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,111,HUMPHREY MDUMZELI ZONDELELE,MMEMEZI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,112,NOSIPHO DOROTHY,NTWANAMBI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,113,JABULANI LUKAS,MAHLANGU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,114,MACHWENE ROSINA,SEMENYA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,115,EMMANUEL RAMAOTOANA KEBBY,MAPHATSOE                                    ,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,116,MANTSHENG ANNA,TSOPO,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,117,BUOANG LEMIAS,MASHILE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,118,BEVERLEY LYNNETTE,ABRAHAMS,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN PEOPLE'S CONVENTION,National,1,NELSON THEMBA,GODI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AGANG SOUTH AFRICA,National,1,MAMPHELA ALETTA,RAMPHELE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AGANG SOUTH AFRICA,National,2,MOLAPI ANDRIES,PLOUAMMA,National Assembly,Member-elect,2014-05-16,2014-05-21,
CONGRESS  OF THE PEOPLE,National,1,MOSIUOA GERARD PATRICK,LEKOTA,National Assembly,Member-elect,2014-05-16,2014-05-21,
CONGRESS  OF THE PEOPLE,National,2,WILLIAM MOTHIPA,MADISHA,National Assembly,Member-elect,2014-05-16,2014-05-21,
CONGRESS  OF THE PEOPLE,National,3,DEIDRE,CARTER,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,1,MMOBA SOLOMON,SESHOKA,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,2,SUHLA JAMES,MASANGO,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,3,JOSEPH JOB,MC GLUWA,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,4,ANDREW GRANT,WHITFIELD,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,5,SEMAKALENG PATRICIA,KOPANE,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,6,GREGORY ALLEN,GROOTBOOM,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,7,DION TRAVERS,GEORGE,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,8,DAVID JOHN,MAYNIER,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,9,Désirée,Van Der Walt,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,10,GREGORY RUDY,KRUMBOCK,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,11,TARNIA ELENA,BAKER,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,12,LEONARD JONES,BASSON,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,13,ZISIWE BEAUTY NOSIMO,BALINDLELA                                   ,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,14,ANNELIE,LOTRIET,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,15,DIRK JAN,STUBBE,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,16,ANCHEN MARGARETHA,DREYER,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,17,PHUMZILE THELMA,VAN DAMME,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,18,STEVENS,MOKGALAPA,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,19,MICHAEL JOHN,CARDO,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,20,STANFORD MAKASHULE,GANA,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,21,MOHAMMED HANIFF,HOOSEN,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,22,GAVIN RICHARD,DAVIS,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,23,KEVIN JOHN,MILEHAM,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,24,NATASHA WENDY ANITA,MICHAEL,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,25,DENISE,ROBINSON,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,26,WERNER,HORN,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,27,IAN MICHAEL,OLLIS,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,28,JOHANNA FREDRIKA,TERBLANCHE,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,29,HILDEGARD SONJA,BOSHOFF,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,30,LANCE WILLIAM,GREYLING,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,31,GLYNNIS,BREYTENBACH,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,32,ROBERT ALFRED,LEES,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,33,DERRICK,AMERICA,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,34,JAMES ROBERT BOURNE,LORIMER,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,35,TERRI,STANDER,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,36,EVELYN RAYNE,WILSON,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,37,JAMES,VOS,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,38,THOMAS CHARLES RAVENSCROFT,WALTERS,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,39,VERONICA,VAN DYK,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,40,CAMERON,MACKENZIE,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,41,TANDEKA,GQADA,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,42,DIANNE,KOHLER,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,43,DARREN,BERGMAN,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,44,ZELDA,JONGBLOED,National Assembly,Member-elect,2014-05-16,2014-05-21,
DEMOCRATIC ALLIANCE,National,45,ANNETTE,STEYN,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,1,JULIUS SELLO,MALEMA,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,2,RAMAKAUDI PAUL,RAMAKATSA,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,3,LEIGH-ANN,MATHYS,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,4,NYIKO FLOYD,SHIVAMBU,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,5,HLENGIWE OCTAVIA,MAXON,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,6,GODRICH AHMED,GARDEE,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,7,MAGDALENE,MOONSAMY,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,8,MBUYISENI QUINTIN,NDLOZI,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,9,TEBOGO JOSEPHINE,MOKWELE,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,10,JOHN ANDILE,MNGXITAM,National Assembly,Member-elect,2014-05-16,2014-05-21,
ECONOMIC FREEDOM FIGHTERS,National,11,ELSABE NATASHA,LOUW,National Assembly,Member-elect,2014-05-16,2014-05-21,
INKATHA FREEDOM PARTY,National,1,MANGOSUTHU GATSHA,BUTHELEZI,National Assembly,Member-elect,2014-05-16,2014-05-21,
INKATHA FREEDOM PARTY,National,2,SIBONGILE JUDITH,NKOMO,National Assembly,Member-elect,2014-05-16,2014-05-21,
INKATHA FREEDOM PARTY,National,3,MARIO GASPARE,ORIANI-AMBROSINI,National Assembly,Member-elect,2014-05-16,2014-05-21,
INKATHA FREEDOM PARTY,National,4,JAN ADRIAAN,ESTERHUIZEN,National Assembly,Member-elect,2014-05-16,2014-05-21,
INKATHA FREEDOM PARTY,National,5,LIEZL LINDA,VAN DER MERWE,National Assembly,Member-elect,2014-05-16,2014-05-21,
NATIONAL FREEDOM PARTY,National,1,VERONICA ZANELE,MSIBI,National Assembly,Member-elect,2014-05-16,2014-05-21,
NATIONAL FREEDOM PARTY,National,2,NHLANHLAKAYISE MOSES,KHUBISA,National Assembly,Member-elect,2014-05-16,2014-05-21,
NATIONAL FREEDOM PARTY,National,3,SIBUSISO CHRISTOPHER,MNCWABE,National Assembly,Member-elect,2014-05-16,2014-05-21,
PAN AFRICANIST CONGRESS OF AZANIA,National,1,SEROPANE SENYANE ALTON,MPHETHI,National Assembly,Member-elect,2014-05-16,2014-05-21,
UNITED DEMOCRATIC MOVEMENT,National,1,BANTUBONKE HARRINGTON,HOLOMISA,National Assembly,Member-elect,2014-05-16,2014-05-21,
UNITED DEMOCRATIC MOVEMENT,National,2,NQABAYOMZI LAWRENCE SAZISO,KWANKWA,National Assembly,Member-elect,2014-05-16,2014-05-21,
VRYHEIDSFRONT PLUS,National,1,PIETER WILLEM ADRIAAN,MULDER,National Assembly,Member-elect,2014-05-16,2014-05-21,
VRYHEIDSFRONT PLUS,National,2,PETRUS JOHANNES,GROENEWALD,National Assembly,Member-elect,2014-05-16,2014-05-21,
VRYHEIDSFRONT PLUS,National,3,CORNELIUS PETRUS,MULDER,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN INDEPENDENT CONGRESS,Provincial: Eastern Cape,1,VUYISILE,KRAKRI,Eastern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Eastern Cape
