County Code,,County,,,,,Const. Code,,,Constituency,,,,Full Names A,,,,,Full Names B,,,,,Party/Independent Candidate
18,,Nyandarua,,,,,90,,,Kipipiri,,,,Samuel Kamunye,,,,,Gichigi,,,,,Alliance Party of Kenya
18,,Nyandarua,,,,,91,,,Ol Kalou,,,,David Njunguna,,,,,Kiaraho,,,,,The National Alliance
18,,Nyandarua,,,,,92,,,Ol Jorok,,,,John Muriithi,,,,,Waiganjo,,,,,The National Alliance
18,,Nyandarua,,,,,93,,,Ndaragwa,,,,Francis Waweru,,,,,Nderitu,,,,,The National Alliance
19,,Nyeri,,,,,94,,,Tetu,,,,James Ndungu,,,,,Gethenji,,,,,The National Alliance
19,,Nyeri,,,,,95,,,Kieni,,,,James Mathenge,,,,,Kanini Kega,,,,,The National Alliance
19,,Nyeri,,,,,96,,,Mathira,,,,Peter Weru,,,,,Kinyua,,,,,National Rainbow Coalition
19,,Nyeri,,,,,97,,,Othaya,,,,Mary Wambui,,,,,Munene,,,,,The National Alliance
19,,Nyeri,,,,,98,,,Mukurweini,,,,Kabando Wa,,,,,Kabando,,,,,The National Alliance
19,,Nyeri,,,,,99,,,Nyeri Town,,,,Esther Murugi,,,,,Mathenge,,,,,The National Alliance
20,,Kirinyaga,,,,,100,,,Mwea,,,,Peter Njuguna,,,,,Gitau,,,,,The National Alliance
20,,Kirinyaga,,,,,101,,,Gichugu,,,,Ejidius Njogu,,,,,Barua,,,,,The National Alliance
20,,Kirinyaga,,,,,102,,,Ndia,,,,Stephen Muriuki,,,,,Ngare,,,,,The National Alliance
20,,Kirinyaga,,,,,103,,,Kirinyaga Central,,,,Joseph Gachoki,,,,,Gitari,,,,,The National Alliance
21,,Muranga,,,,,104,,,Kangema,,,,Tiras Nyingi,,,,,Ngahu,,,,,The National Alliance
21,,Muranga,,,,,105,,,Mathioya,,,,Clement Muchiri,,,,,Wambugu,,,,,The National Alliance
21,,Muranga,,,,,106,,,Kiharu,,,,Irungu,,,,,Kang'ata,,,,,The National Alliance
21,,Muranga,,,,,107,,,Kigumo,,,,Jamleck Irungu,,,,,Kamau,,,,,The National Alliance
21,,Muranga,,,,,108,,,Maragwa,,,,Peter Kamande,,,,,Mwangi,,,,,The National Alliance
21,,Muranga,,,,,109,,,Kandara,,,,Alice Muthoni,,,,,Wahome,,,,,The National Alliance
21,,Muranga,,,,,110,,,Gatanga,,,,Humphrey Kimani,,,,,Njuguna,,,,,National Rainbow Coalition
22,,Kiambu,,,,,111,,,Gatundu South,,,,Joseph Ngugi,,,,,Nyumu,,,,,The National Alliance
22,,Kiambu,,,,,112,,,Gatundu North,,,,Francis Kigo,,,,,Njenga,,,,,The National Alliance
22,,Kiambu,,,,,113,,,Juja,,,,Francis Munyua,,,,,Waititu,,,,,The National Alliance
22,,Kiambu,,,,,114,,,Thika Town,,,,Alice Wambui,,,,,Ng'ang'a,,,,,The National Alliance
22,,Kiambu,,,,,115,,,Ruiru,,,,Esther Nyambura,,,,,Gathogo,,,,,The National Alliance
22,,Kiambu,,,,,116,,,Githunguri,,,,Peter Njoroge,,,,,Baiya,,,,,The National Alliance
22,,Kiambu,,,,,117,,,Kiambu,,,,Jude L. Kangethe,,,,,Njomo,,,,,The National Alliance
22,,Kiambu,,,,,118,,,Kiambaa,,,,Paul,,,,,Koinange,,,,,The National Alliance
22,,Kiambu,,,,,119,,,Kabete,,,,George Mukuru,,,,,Muchai,,,,,The National Alliance
22,,Kiambu,,,,,120,,,Kikuyu,,,,Anthony Kimani,,,,,Ichung'wah,,,,,The National Alliance
22,,Kiambu,,,,,121,,,Limuru,,,,John Kiragu,,,,,Chege,,,,,The National Alliance
22,,Kiambu,,,,,122,,,Lari,,,,Joseph Mburu,,,,,Kahangara,,,,,The National Alliance
23,,Turkana,,,,,123,,,Turkana North,,,,Chrisropher Doye,,,,,Nakuleu,,,,,United Republican Party
23,,Turkana,,,,,124,,,Turkana West,,,,Daniel Epuyo,,,,,Nanok,,,,,United Republican Party
23,,Turkana,,,,,125,,,Turkana Central,,,,John Lodepe,,,,,Nakara,,,,,United Republican Party
23,,Turkana,,,,,126,,,Loima,,,,Protus Ewesit,,,,,Akujah,,,,,Orange Democratic Movement
23,,Turkana,,,,,127,,,Turkana South,,,,James Lomenen,,,,,Ekomwa,,,,,The National Alliance
23,,Turkana,,,,,128,,,Turkana East,,,,Nicholas Ngikor,,,,,Nixon,,,,,Forum For Restoration of Democracy-Kenya
24,,West Pokot,,,,,129,,,Kapenguria,,,,Samuel Moroto,,,,,Chumel,,,,,Kenya African National Union
24,,West Pokot,,,,,130,,,Sigor,,,,Philip Lotiolo Ruto,,,,,Rotino,,,,,United Republican Party
24,,West Pokot,,,,,131,,,Kacheliba,,,,Mark,,,,,Lomunokol,,,,,United Republican Party
24,,West Pokot,,,,,132,,,Pokot South,,,,David Pkosing,,,,,Losiakou,,,,,United Republican Party
25,,Samburu,,,,,133,,,Samburu West,,,,Jonathan Lelelit,,,,,Lati,,,,,United Republican Party
25,,Samburu,,,,,134,,,Samburu North,,,,Alois Musa,,,,,Lentoimaga,,,,,The National Alliance
25,,Samburu,,,,,135,,,Samburu East,,,,Raphael Lakalei,,,,,Letimalo,,,,,The National Alliance
26,,Trans Nzoia,,,,,136,,,Kwanza,,,,Ferdinard Kevin,,,,,Wanyonyi,,,,,Forum For Restoration of Democracy-Kenya
26,,Trans Nzoia,,,,,137,,,Endebess,,,,Robert,,,,,Pukose,,,,,United Republican Party
26,,Trans Nzoia,,,,,138,,,Saboti,,,,David Wafula,,,,,Wekesa,,,,,New Ford Kenya
26,,Trans Nzoia,,,,,139,,,Kiminini,,,,Chrisantus Wamalwa,,,,,Wakhungu,,,,,Forum For Restoration of Democracy-Kenya
26,,Trans Nzoia,,,,,140,,,Cherangany,,,,Wesley Kipchumba,,,,,Korir,,,,,Independent Candidate
27,,Uasin Gishu,,,,,141,,,Soy,,,,Edwin Kipruto,,,,,Barchilei,,,,,United Republican Party
27,,Uasin Gishu,,,,,142,,,Turbo,,,,Elisha Kipkorir,,,,,Busienei,,,,,United Republican Party
27,,Uasin Gishu,,,,,143,,,Moiben,,,,Silas Kipkoech,,,,,Tiren,,,,,United Republican Party
27,,Uasin Gishu,,,,,144,,,Ainabkoi,,,,Samuel Kiprono,,,,,Chepkong`A,,,,,United Republican Party
27,,Uasin Gishu,,,,,145,,,Kapseret,,,,Oscar Kipchumba,,,,,Sudi,,,,,United Republican Party
27,,Uasin Gishu,,,,,146,,,Kesses,,,,James Kimaru,,,,,Bett,,,,,United Republican Party
28,,Elgeyo/Marakwet,,,,,147,,,Marakwet East,,,,David Kangongo,,,,,Bowen,,,,,United Republican Party
28,,Elgeyo/Marakwet,,,,,148,,,Marakwet West,,,,William Kipkemoi,,,,,Kisang,,,,,United Republican Party
28,,Elgeyo/Marakwet,,,,,149,,,Keiyo North,,,,James Kipkosgei,,,,,Murgor,,,,,United Republican Party
28,,Elgeyo/Marakwet,,,,,150,,,Keiyo South,,,,Jackson Kiplagat,,,,,Kiptanui,,,,,United Republican Party
29,,Nandi,,,,,151,,,Tinderet,,,,Julius Kibiwott,,,,,Melly,,,,,United Republican Party
29,,Nandi,,,,,152,,,Aldai,,,,Cornelly,,,,,Serem,,,,,United Republican Party
29,,Nandi,,,,,153,,,Nandi Hills,,,,Alfred Kiptoo,,,,,Keter,,,,,United Republican Party
29,,Nandi,,,,,154,,,Chesumei,,,,Elijah Kiptarbei,,,,,Lagat,,,,,United Republican Party
29,,Nandi,,,,,155,,,Emgwen,,,,Alexander Kimutai Kigen Kosgey,,,,,Kosgey,,,,,United Republican Party
29,,Nandi,,,,,156,,,Mosop,,,,Kirwa Stephen,,,,,Bitok,,,,,United Republican Party
30,,Baringo,,,,,157,,,Tiaty,,,,Kamama Asman,,,,,Abongotum,,,,,United Republican Party
30,,Baringo,,,,,158,,,Baringo North,,,,William Kipkiror,,,,,Cheptumo,,,,,United Republican Party
30,,Baringo,,,,,159,,,Baringo Central,,,,Sammy Silas Komen,,,,,Mwaita,,,,,United Republican Party
