current_name,correct_name,lga_areas
Ezeagu/Udi,Ezeagu / Udi,"Ezeagu, Udi"
Ifako Ijaye,Ifako Ijaye,Ifako/Ijaye
Okpe/ Sapele/ Uvwie,Okpe / Sapele / Uvwie,"Okpe, Sapele, Uvwie"
IKwo / Ezza South,IKwo / Ezza South,"Ikwo, Ezza South"
Iseyin/ Itesiwasu / Kajola / Iwajowa,Iseyin / Itesiwasu / Kajola / Iwajowa,"Iseyin, Itesiwaju, Kajola, Iwajowa"
Lagos Island I Federal Constituency,Lagos Island I Federal Constituency,Lagos Island
Egbeda/ Ona-Ara,Egbeda / Ona-Ara,"Egbeda, Ona-Ara"
Amuwo Odofin Federal Constituency,Amuwo Odofin Federal Constituency,Amuwo Odofin
"Abeokuta North, Obafemi Owode & Odeda Fed. Const.","Abeokuta North, Obafemi Owode & Odeda Fed. Const.","AbeokutaNorth, Obafemi-Owode, Owode, Odeda"
Ogo Oluwa / Surulere,Ogo Oluwa / Surulere,"Ogo Oluwa, Surulere"
Afikpo North/Afikpo South,Afikpo North / Afikpo South,"AfikpoSo, Afikpo"
Owo/Ose,Owo / Ose,"Owo, Ose"
Ndokwa East/Ndokwa,Ndokwa East / Ndokwa,"Ndokwa East, Ndokwa"
IJERO/EFON/EKITI WEST,IJERO / EFON / EKITI WEST,"Ijero, Efon, EkitiWest"
Owan East / West,Owan East / West,"Owan East, OwanWest"
"Esan Central, Esan West, Igueben","Esan Central, Esan West, Igueben","Esan Central, EsanWest, Igueben"
Nkanu East/Nkanu West,Nkanu East / Nkanu West,"Nkanu East, Nkanu West"
Ezza North/Ishelu,Ezza North / Ishelu,"Ezza North, Ishielu"
Damibo'a / Chibok/ Gwoza,Damibo'a / Chibok / Gwoza,"Damboa, Chibok, Gwoza"
Ebonyi/Ohaukwu,Ebonyi / Ohaukwu,"Ebonyi, Ohaukwu"
Akoko-Edo,Akoko-Edo,Akoko-Ed
Badagry,Badagry,Badagary
Felodun/Offa/Oyun,Felodun / Offa / Oyun,"Felodun, Offa, Oyun"
Ilaje / Ese Odo,Ilaje / Ese Odo,"Ilaje, Ese-Odo"
AHIAZU-MBAISE/EZINITTE,AHIAZU-MBAISE / EZINITTE,"Ahizu-Mb, Ezinihit"
Oredo,Oredo,Oredo
Oron/Mbo/Okobo/Urefong/udung-Uko,Oron / Mbo / Okobo / Urefong / udung-Uko,"Oron, Mbo, Okobo, Urefong, Udung Uko"
EKITI II,EKITI II,Oguta
OGOJA/YALA,OGOJA / YALA,"Ogoja, Yala Cross"
Birnin-Kudu/Buji,Birnin-Kudu / Buji,"BirninKu, Buji"
Ajaokuta,Ajaokuta,Ajaokuta
Ringim/Taura,Ringim / Taura,"Ringim, Taura"
Bosso/Paikoro,Bosso / Paikoro,"Bosso, Paikoro"
Daura/Maiduwa/Sadamu Constituency,Daura / Maiduwa / Sadamu Constituency,"Daura, Mai'Adua, Sandamu"
